# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "../inputs/genomes/RATT/genomes/Newman/genomic.gff3" "-o" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/featureCounts/R1_NM-III_t12_S2_Newman_counts.txt" "-p" "--countReadPairs" "-s" "2" "-O" "--primary" "-t" "CDS" "-g" "locus_tag" "-T" "8" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R1_NM-III_t12_S2.bam" 
Geneid	Chr	Start	End	Strand	Length	/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R1_NM-III_t12_S2.bam
NWMN_0038	AP009351.1	49489	50091	+	603	3
NWMN_0039	AP009351.1	50358	53510	+	3153	33
NWMN_0040	AP009351.1	53567	54049	+	483	8
NWMN_0041	AP009351.1	54254	55240	+	987	9
NWMN_0042	AP009351.1	55461	56231	+	771	1
NWMN_0043	AP009351.1	56283	57053	+	771	0
NWMN_0044	AP009351.1	57117	57887	+	771	7
NWMN_0045	AP009351.1	57954	58721	+	768	7
NWMN_0046	AP009351.1	58815	61052	+	2238	38
NWMN_0047	AP009351.1	61194	62381	+	1188	171
NWMN_0048	AP009351.1	62383	63771	+	1389	176
NWMN_0049	AP009351.1	64264	65931	-	1668	75
NWMN_0050	AP009351.1	66251	68026	-	1776	505
NWMN_0051	AP009351.1	68200	69072	-	873	0
NWMN_0052	AP009351.1	69185	70582	+	1398	0
NWMN_0053	AP009351.1	70772	71245	+	474	14
NWMN_0054	AP009351.1	71507	73099	+	1593	183
NWMN_0055	AP009351.1	73428	74990	-	1563	6007
NWMN_0056	AP009351.1	75375	76151	-	777	19
NWMN_0057	AP009351.1	76496	77494	-	999	56
NWMN_0058	AP009351.1	77491	78486	-	996	2
NWMN_0059	AP009351.1	78502	79494	-	993	3
NWMN_0060	AP009351.1	79725	80705	+	981	1
NWMN_0061	AP009351.1	80702	81712	+	1011	2
NWMN_0062	AP009351.1	81733	83487	+	1755	2
NWMN_0063	AP009351.1	83480	84736	+	1257	2
NWMN_0064	AP009351.1	84726	86462	+	1737	7
NWMN_0065	AP009351.1	86371	88221	+	1851	18
NWMN_0066	AP009351.1	88193	88972	+	780	11
NWMN_0067	AP009351.1	88972	90174	+	1203	10
NWMN_0068	AP009351.1	90178	90942	+	765	15
NWMN_0069	AP009351.1	91138	91545	+	408	0
NWMN_0070	AP009351.1	91595	92221	+	627	0
NWMN_0071	AP009351.1	92433	93209	+	777	6972
NWMN_0072	AP009351.1	93566	94525	+	960	5
NWMN_0073	AP009351.1	94488	95180	+	693	3
NWMN_0074	AP009351.1	95390	96556	+	1167	1
NWMN_0075	AP009351.1	96537	97775	+	1239	0
NWMN_0076	AP009351.1	97765	99195	+	1431	9
NWMN_0077	AP009351.1	99463	100062	+	600	81
NWMN_0078	AP009351.1	100430	101155	+	726	336
NWMN_0079	AP009351.1	101347	102102	-	756	17
NWMN_0080	AP009351.1	102338	103045	+	708	18
NWMN_0081	AP009351.1	103052	104404	+	1353	14
NWMN_0082	AP009351.1	104485	105147	+	663	212
NWMN_0083	AP009351.1	105175	106353	+	1179	873
NWMN_0084	AP009351.1	106484	107299	-	816	0
NWMN_0085	AP009351.1	107296	108096	-	801	0
NWMN_0086	AP009351.1	108098	108871	-	774	1
NWMN_0087	AP009351.1	110270	111814	+	1545	5
NWMN_0088	AP009351.1	111859	113400	+	1542	58
NWMN_0089	AP009351.1	113484	113687	+	204	0
NWMN_0090	AP009351.1	114000	114545	+	546	1
NWMN_0091	AP009351.1	114530	114820	+	291	0
NWMN_0092	AP009351.1	114976	115191	+	216	0
NWMN_0093	AP009351.1	115844	116065	+	222	0
NWMN_0094	AP009351.1	116515	119124	+	2610	109
NWMN_0095	AP009351.1	119469	120137	+	669	5
NWMN_0096	AP009351.1	120144	120839	+	696	14
NWMN_0097	AP009351.1	120842	121606	+	765	8
NWMN_0098	AP009351.1	121614	123449	+	1836	24
NWMN_0099	AP009351.1	123439	124467	+	1029	16
NWMN_0100	AP009351.1	124480	125589	+	1110	17
NWMN_0101	AP009351.1	125593	126717	+	1125	17
NWMN_0102	AP009351.1	126720	127346	+	627	3
NWMN_0103	AP009351.1	127351	128460	+	1110	9
NWMN_0104	AP009351.1	128474	129640	+	1167	4
NWMN_0105	AP009351.1	129654	130838	+	1185	3
NWMN_0106	AP009351.1	130839	132044	+	1206	12
NWMN_0107	AP009351.1	132055	132612	+	558	15
NWMN_0108	AP009351.1	132612	133499	+	888	22
NWMN_0109	AP009351.1	133553	134815	+	1263	31
NWMN_0110	AP009351.1	134862	136037	+	1176	37
NWMN_0111	AP009351.1	136102	136428	-	327	5
NWMN_0112	AP009351.1	136435	136818	-	384	4
NWMN_0113	AP009351.1	137245	138732	+	1488	513
NWMN_0114	AP009351.1	139273	140337	+	1065	43
NWMN_0115	AP009351.1	140781	141293	+	513	15
NWMN_0116	AP009351.1	141635	142375	+	741	4
NWMN_0117	AP009351.1	142389	143363	+	975	3
NWMN_0118	AP009351.1	143360	144121	+	762	5
NWMN_0119	AP009351.1	144134	145165	+	1032	21
NWMN_0120	AP009351.1	145382	145741	+	360	51
NWMN_0121	AP009351.1	145914	146939	+	1026	6
NWMN_0122	AP009351.1	147325	148575	+	1251	13
NWMN_0123	AP009351.1	149028	156197	+	7170	528
NWMN_0124	AP009351.1	156210	156854	+	645	88
NWMN_0125	AP009351.1	157182	157676	-	495	167
NWMN_0126	AP009351.1	157931	158695	-	765	2
NWMN_0127	AP009351.1	158711	159952	-	1242	8
NWMN_0128	AP009351.1	159964	160998	-	1035	2
NWMN_0129	AP009351.1	161034	162218	-	1185	1
NWMN_0130	AP009351.1	162471	163826	-	1356	17
NWMN_0131	AP009351.1	164102	164659	-	558	66
NWMN_0132	AP009351.1	164726	166366	-	1641	122
NWMN_0133	AP009351.1	166640	168685	-	2046	156
NWMN_0134	AP009351.1	169253	170326	+	1074	73
NWMN_0135	AP009351.1	170323	171222	+	900	70
NWMN_0136	AP009351.1	171234	172688	+	1455	143
NWMN_0137	AP009351.1	172688	173566	+	879	67
NWMN_0138	AP009351.1	173760	174041	-	282	0
NWMN_0139	AP009351.1	174254	177043	+	2790	109
NWMN_0140	AP009351.1	177248	178090	+	843	17
NWMN_0141	AP009351.1	178092	179015	+	924	22
NWMN_0142	AP009351.1	179002	180114	+	1113	31
NWMN_0143	AP009351.1	180379	181971	-	1593	46
NWMN_0144	AP009351.1	181928	183406	+	1479	0
NWMN_0145	AP009351.1	183412	184575	+	1164	4
NWMN_0146	AP009351.1	184592	186367	+	1776	7
NWMN_0147	AP009351.1	186405	188411	+	2007	14
NWMN_0148	AP009351.1	188709	189482	-	774	7
NWMN_0149	AP009351.1	189672	190370	-	699	90
NWMN_0150	AP009351.1	190507	191085	+	579	15
NWMN_0151	AP009351.1	191468	192565	+	1098	3
NWMN_0152	AP009351.1	192578	193849	+	1272	9
NWMN_0153	AP009351.1	193852	195120	+	1269	64
NWMN_0154	AP009351.1	195044	195961	+	918	59
NWMN_0155	AP009351.1	196032	197111	+	1080	212
NWMN_0156	AP009351.1	198189	199199	+	1011	256
NWMN_0157	AP009351.1	199560	200132	-	573	2
NWMN_0158	AP009351.1	200269	201666	+	1398	72
NWMN_0159	AP009351.1	202025	202783	-	759	22
NWMN_0160	AP009351.1	202776	204332	-	1557	14
NWMN_0161	AP009351.1	204329	205297	-	969	2
NWMN_0162	AP009351.1	205885	208134	+	2250	30934
NWMN_0163	AP009351.1	208157	208912	+	756	11526
NWMN_0164	AP009351.1	209197	211011	+	1815	37
NWMN_0165	AP009351.1	211175	211519	-	345	18
NWMN_0166	AP009351.1	211709	213619	+	1911	45
NWMN_0167	AP009351.1	214222	215406	-	1185	34
NWMN_0168	AP009351.1	215436	217697	-	2262	47
NWMN_0169	AP009351.1	217883	219139	-	1257	31
NWMN_0170	AP009351.1	219206	220711	-	1506	25
NWMN_0171	AP009351.1	220737	222314	-	1578	49
NWMN_0172	AP009351.1	222650	223897	+	1248	6
NWMN_0173	AP009351.1	224211	225686	-	1476	25
NWMN_0174	AP009351.1	225884	226240	-	357	17
NWMN_0175	AP009351.1	226596	227741	-	1146	246
NWMN_0176	AP009351.1	228314	229267	+	954	1422
NWMN_0177	AP009351.1	229587	231122	-	1536	139
NWMN_0178	AP009351.1	231478	232413	+	936	18
NWMN_0179	AP009351.1	232752	234848	+	2097	1
NWMN_0180	AP009351.1	234833	235300	+	468	0
NWMN_0181	AP009351.1	235323	235601	+	279	0
NWMN_0182	AP009351.1	235828	237087	+	1260	3
NWMN_0183	AP009351.1	237105	238160	+	1056	5
NWMN_0184	AP009351.1	238332	239375	+	1044	8
NWMN_0185	AP009351.1	239903	240619	+	717	40
NWMN_0186	AP009351.1	240612	241637	+	1026	43
NWMN_0187	AP009351.1	241659	243353	+	1695	57
NWMN_0188	AP009351.1	243781	244950	+	1170	16
NWMN_0189	AP009351.1	245226	245942	+	717	42
NWMN_0190	AP009351.1	245935	246960	+	1026	79
NWMN_0191	AP009351.1	246982	248670	+	1689	140
NWMN_0192	AP009351.1	248706	250427	+	1722	283
NWMN_0193	AP009351.1	250567	251241	+	675	182
NWMN_0194	AP009351.1	251488	253242	+	1755	58
NWMN_0195	AP009351.1	253245	253985	+	741	9
NWMN_0196	AP009351.1	254098	254541	+	444	35
NWMN_0197	AP009351.1	254534	255235	+	702	215
NWMN_0198	AP009351.1	255343	256047	-	705	30
NWMN_0199	AP009351.1	256196	256987	+	792	3
NWMN_0200	AP009351.1	257003	258439	+	1437	10
NWMN_0201	AP009351.1	258873	259634	-	762	2
NWMN_0202	AP009351.1	259885	260799	-	915	21
NWMN_0203	AP009351.1	260827	261231	-	405	6
NWMN_0204	AP009351.1	261246	262136	-	891	17
NWMN_0205	AP009351.1	262359	263357	-	999	121
NWMN_0206	AP009351.1	263737	264129	+	393	4
NWMN_0207	AP009351.1	264357	264761	+	405	0
NWMN_0208	AP009351.1	264802	266178	-	1377	5
NWMN_0209	AP009351.1	266412	267404	+	993	14
NWMN_0210	AP009351.1	267940	268680	+	741	32
NWMN_0211	AP009351.1	268732	269391	-	660	3
NWMN_0212	AP009351.1	269405	270325	-	921	2
NWMN_0213	AP009351.1	270322	271488	-	1167	0
NWMN_0214	AP009351.1	271653	271775	+	123	0
NWMN_0215	AP009351.1	272046	273095	-	1050	0
NWMN_0216	AP009351.1	273351	274004	+	654	0
NWMN_0217	AP009351.1	274038	274625	+	588	0
NWMN_0218	AP009351.1	274768	275670	-	903	5
NWMN_0219	AP009351.1	275909	276202	+	294	67
NWMN_0220	AP009351.1	276286	279315	+	3030	6
NWMN_0221	AP009351.1	279315	279773	+	459	2
NWMN_0222	AP009351.1	280000	281334	+	1335	0
NWMN_0223	AP009351.1	281356	285795	+	4440	13
NWMN_0224	AP009351.1	285825	286217	+	393	1
NWMN_0225	AP009351.1	286233	286547	+	315	1
NWMN_0226	AP009351.1	286547	287221	+	675	3
NWMN_0227	AP009351.1	287221	287538	+	318	2
NWMN_0228	AP009351.1	287539	289392	+	1854	105
NWMN_0229	AP009351.1	289403	289894	+	492	61
NWMN_0230	AP009351.1	290102	290785	+	684	1
NWMN_0231	AP009351.1	290932	291543	+	612	0
NWMN_0232	AP009351.1	291679	291897	+	219	1
NWMN_0233	AP009351.1	292029	292529	+	501	0
NWMN_0234	AP009351.1	292540	293040	+	501	0
NWMN_0235	AP009351.1	293169	293546	+	378	2
NWMN_0236	AP009351.1	293557	294048	+	492	3
NWMN_0237	AP009351.1	294258	294941	+	684	0
NWMN_0238	AP009351.1	295527	296027	+	501	1
NWMN_0239	AP009351.1	296039	296539	+	501	2
NWMN_0240	AP009351.1	296550	297050	+	501	1
NWMN_0241	AP009351.1	297061	297561	+	501	1
NWMN_0242	AP009351.1	297572	298072	+	501	6
NWMN_0243	AP009351.1	298083	298583	+	501	14
NWMN_0244	AP009351.1	298621	299082	+	462	8
NWMN_0245	AP009351.1	299704	300078	+	375	4
NWMN_0246	AP009351.1	300231	300629	+	399	22
NWMN_0247	AP009351.1	300845	301690	-	846	144
NWMN_0248	AP009351.1	301906	303213	-	1308	51
NWMN_0249	AP009351.1	303797	304687	+	891	7
NWMN_0250	AP009351.1	304936	305985	+	1050	438
NWMN_0251	AP009351.1	305998	306675	+	678	658
NWMN_0252	AP009351.1	306877	307914	+	1038	50
NWMN_0253	AP009351.1	308254	309372	+	1119	11
NWMN_0254	AP009351.1	309347	310270	+	924	8
NWMN_0255	AP009351.1	310281	311501	+	1221	19
NWMN_0256	AP009351.1	311606	313138	-	1533	28
NWMN_0257	AP009351.1	313178	314059	-	882	14
NWMN_0258	AP009351.1	314217	315077	+	861	14
NWMN_0259	AP009351.1	315355	316155	-	801	13
NWMN_0260	AP009351.1	316295	316963	+	669	22
NWMN_0261	AP009351.1	317090	318451	-	1362	3
NWMN_0262	AP009351.1	318821	320755	+	1935	225
NWMN_0263	AP009351.1	320846	322051	-	1206	12
NWMN_0264	AP009351.1	322321	323253	-	933	35
NWMN_0265	AP009351.1	323285	323749	-	465	16
NWMN_0266	AP009351.1	323762	324283	-	522	11
NWMN_0267	AP009351.1	324758	325240	-	483	2
NWMN_0268	AP009351.1	325300	326049	+	750	16
NWMN_0269	AP009351.1	326313	326576	+	264	6
NWMN_0270	AP009351.1	326841	327101	+	261	14
NWMN_2615	AP009351.1	327111	327332	+	222	23
NWMN_0271	AP009351.1	327325	328113	+	789	64
NWMN_0272	AP009351.1	328142	328693	+	552	31
NWMN_0273	AP009351.1	328706	329377	+	672	22
NWMN_0274	AP009351.1	329483	330340	-	858	317
NWMN_0275	AP009351.1	330405	331175	+	771	19
NWMN_0276	AP009351.1	331185	331964	+	780	26
NWMN_0277	AP009351.1	332360	332767	+	408	15
NWMN_0278	AP009351.1	332953	333312	+	360	13
NWMN_0279	AP009351.1	333312	333566	+	255	13
NWMN_0280	AP009351.1	333572	333814	+	243	15
NWMN_0281	AP009351.1	333829	334230	+	402	20
NWMN_0282	AP009351.1	334418	334867	+	450	23
NWMN_0283	AP009351.1	334864	335148	+	285	20
NWMN_0284	AP009351.1	335382	335918	+	537	8
NWMN_0285	AP009351.1	336545	336781	+	237	5
NWMN_0286	AP009351.1	336774	337160	+	387	13
NWMN_0287	AP009351.1	337331	337732	+	402	27
NWMN_0288	AP009351.1	338116	338577	+	462	9
NWMN_0289	AP009351.1	338570	339793	+	1224	18
NWMN_0290	AP009351.1	339790	341214	+	1425	31
NWMN_0291	AP009351.1	341183	342136	+	954	26
NWMN_0292	AP009351.1	342005	342334	-	330	0
NWMN_0293	AP009351.1	342447	343031	+	585	27
NWMN_0294	AP009351.1	343048	343962	+	915	47
NWMN_0295	AP009351.1	344123	344473	+	351	22
NWMN_0296	AP009351.1	344485	344820	+	336	28
NWMN_0297	AP009351.1	344771	345220	+	450	36
NWMN_0298	AP009351.1	345233	345658	+	426	25
NWMN_0299	AP009351.1	345659	346216	+	558	38
NWMN_0300	AP009351.1	346283	346789	+	507	12
NWMN_0301	AP009351.1	346969	347118	+	150	3
NWMN_0302	AP009351.1	347122	350265	+	3144	58
NWMN_0303	AP009351.1	350280	351221	+	942	11
NWMN_0304	AP009351.1	351232	353118	+	1887	31
NWMN_0305	AP009351.1	353131	355029	+	1899	11
NWMN_0306	AP009351.1	355029	356852	+	1824	30
NWMN_0307	AP009351.1	356852	357229	+	378	5
NWMN_0308	AP009351.1	357446	357745	+	300	4
NWMN_0309	AP009351.1	357882	359780	+	1899	6
NWMN_0310	AP009351.1	359793	360965	+	1173	8
NWMN_0311	AP009351.1	360962	361366	+	405	5
NWMN_0312	AP009351.1	361422	361724	+	303	1
NWMN_0313	AP009351.1	361736	363190	+	1455	7
NWMN_0314	AP009351.1	364324	365151	-	828	19
NWMN_0315	AP009351.1	365224	366423	-	1200	18
NWMN_0316	AP009351.1	366725	367726	+	1002	30
NWMN_0317	AP009351.1	367760	368092	+	333	8
NWMN_0318	AP009351.1	368093	368893	+	801	13
NWMN_0319	AP009351.1	368883	369827	+	945	12
NWMN_0320	AP009351.1	369805	370827	+	1023	13
NWMN_0321	AP009351.1	371142	372167	+	1026	330
NWMN_0322	AP009351.1	372260	373606	-	1347	268
NWMN_0323	AP009351.1	373621	373905	-	285	60
NWMN_0324	AP009351.1	373907	374350	-	444	44
NWMN_0325	AP009351.1	374355	376310	-	1956	22
NWMN_0326	AP009351.1	376522	376941	+	420	27
NWMN_0327	AP009351.1	377048	378403	+	1356	7
NWMN_0328	AP009351.1	378507	378947	+	441	2
NWMN_0329	AP009351.1	379030	380388	-	1359	19
NWMN_0330	AP009351.1	380696	381622	+	927	97
NWMN_0331	AP009351.1	381636	382697	+	1062	243
NWMN_0332	AP009351.1	382711	383277	+	567	122
NWMN_0333	AP009351.1	383337	384332	-	996	6
NWMN_0334	AP009351.1	384430	384726	+	297	3
NWMN_0335	AP009351.1	384806	385351	+	546	16
NWMN_0336	AP009351.1	385619	386473	+	855	1
NWMN_0337	AP009351.1	386470	387699	+	1230	7
NWMN_0338	AP009351.1	387677	389392	+	1716	7
NWMN_0339	AP009351.1	389484	390140	-	657	3
NWMN_0340	AP009351.1	390202	390417	-	216	1
NWMN_0341	AP009351.1	390526	390915	-	390	1
NWMN_0342	AP009351.1	391356	392069	+	714	17
NWMN_0343	AP009351.1	392094	392936	+	843	38
NWMN_0344	AP009351.1	392936	393565	+	630	24
NWMN_0345	AP009351.1	393932	395065	-	1134	3
NWMN_0346	AP009351.1	395604	396785	+	1182	145
NWMN_0347	AP009351.1	396868	397620	-	753	12
NWMN_0348	AP009351.1	397663	399891	-	2229	18
NWMN_0349	AP009351.1	399888	401729	-	1842	7
NWMN_0350	AP009351.1	401698	402858	-	1161	2
NWMN_0351	AP009351.1	402855	403958	-	1104	2
NWMN_0352	AP009351.1	404166	404504	+	339	1
NWMN_0353	AP009351.1	404622	405467	+	846	10
NWMN_0354	AP009351.1	405624	406505	+	882	10
NWMN_0355	AP009351.1	406750	407847	+	1098	57
NWMN_0356	AP009351.1	407933	408124	-	192	7
NWMN_0357	AP009351.1	408368	408664	+	297	436
NWMN_0358	AP009351.1	408685	409188	+	504	626
NWMN_0359	AP009351.1	409240	409482	+	243	225
NWMN_0360	AP009351.1	409748	410722	-	975	2
NWMN_0361	AP009351.1	410725	411036	-	312	0
NWMN_0362	AP009351.1	411632	412243	+	612	69
NWMN_0363	AP009351.1	412612	412980	+	369	0
NWMN_0364	AP009351.1	413161	413733	+	573	240
NWMN_0365	AP009351.1	413871	414134	-	264	23
NWMN_0366	AP009351.1	414434	414685	+	252	2128
NWMN_0367	AP009351.1	415111	415692	+	582	8
NWMN_0368	AP009351.1	415758	416150	-	393	8
NWMN_0369	AP009351.1	416396	417022	-	627	26
NWMN_0370	AP009351.1	417095	417388	-	294	1
NWMN_0371	AP009351.1	417467	418990	-	1524	1522
NWMN_0372	AP009351.1	419006	419575	-	570	823
NWMN_0373	AP009351.1	420067	420822	+	756	117
NWMN_0374	AP009351.1	420903	422291	-	1389	79
NWMN_0375	AP009351.1	423268	424224	-	957	106
NWMN_0376	AP009351.1	424342	425004	-	663	51
NWMN_0377	AP009351.1	425147	425554	-	408	744
NWMN_0378	AP009351.1	426067	426645	+	579	49
NWMN_0379	AP009351.1	426645	427913	+	1269	135
NWMN_0380	AP009351.1	427951	429417	+	1467	298
NWMN_0381	AP009351.1	429442	430983	+	1542	342
NWMN_0382	AP009351.1	431096	431632	-	537	2
NWMN_0383	AP009351.1	432025	432729	-	705	1
NWMN_0384	AP009351.1	433128	433400	-	273	0
NWMN_0385	AP009351.1	433441	433758	-	318	2
NWMN_0386	AP009351.1	434337	434696	-	360	53
NWMN_0387	AP009351.1	434715	435560	-	846	93
NWMN_0388	AP009351.1	436032	436712	+	681	40
NWMN_0389	AP009351.1	436998	437693	+	696	8
NWMN_0390	AP009351.1	437984	439042	+	1059	7
NWMN_0391	AP009351.1	439407	440333	+	927	9
NWMN_0392	AP009351.1	440697	441401	+	705	1
NWMN_0393	AP009351.1	441847	442542	+	696	1
NWMN_0394	AP009351.1	442963	443658	+	696	10
NWMN_0395	AP009351.1	443987	444700	+	714	4
NWMN_0396	AP009351.1	445080	445778	+	699	2
NWMN_0397	AP009351.1	446144	446827	+	684	9
NWMN_0398	AP009351.1	447091	448647	+	1557	15
NWMN_0399	AP009351.1	448640	449851	+	1212	7
NWMN_0400	AP009351.1	450234	450911	+	678	7
NWMN_0401	AP009351.1	450933	452441	+	1509	20
NWMN_0402	AP009351.1	452545	452862	-	318	1505
NWMN_0403	AP009351.1	453191	453994	+	804	1
NWMN_0404	AP009351.1	454025	454825	+	801	5
NWMN_0405	AP009351.1	454844	455317	+	474	3
NWMN_0406	AP009351.1	455697	456500	+	804	2
NWMN_0407	AP009351.1	456519	457289	+	771	0
NWMN_0408	AP009351.1	457321	458112	+	792	0
NWMN_0409	AP009351.1	458182	458958	+	777	3
NWMN_0410	AP009351.1	459134	459949	+	816	7
NWMN_0411	AP009351.1	459968	460753	+	786	8
NWMN_0412	AP009351.1	460936	461748	+	813	23
NWMN_0413	AP009351.1	461738	463066	+	1329	48
NWMN_0414	AP009351.1	463063	463386	+	324	18
NWMN_0415	AP009351.1	463405	463719	+	315	19
NWMN_0416	AP009351.1	464009	464203	-	195	33
NWMN_0417	AP009351.1	464388	465590	+	1203	5
NWMN_2616	AP009351.1	466249	466311	-	63	4
NWMN_2617	AP009351.1	466375	466443	-	69	3
NWMN_2618	AP009351.1	466495	466560	-	66	8
NWMN_2619	AP009351.1	466592	466657	-	66	7
NWMN_0418	AP009351.1	467178	468662	+	1485	40
NWMN_0419	AP009351.1	468675	471380	+	2706	259
NWMN_0420	AP009351.1	471542	471904	+	363	84
NWMN_0421	AP009351.1	472587	473261	+	675	29
NWMN_0422	AP009351.1	473298	474032	+	735	47
NWMN_0423	AP009351.1	474485	475825	+	1341	3
NWMN_0424	AP009351.1	476042	476956	+	915	7
NWMN_0425	AP009351.1	476940	478082	+	1143	20
NWMN_0426	AP009351.1	478513	479400	+	888	3
NWMN_0427	AP009351.1	479404	480063	+	660	2
NWMN_0428	AP009351.1	480100	480942	+	843	16
NWMN_0429	AP009351.1	481274	482278	+	1005	121
NWMN_0430	AP009351.1	482463	482732	-	270	11
NWMN_0431	AP009351.1	482872	483276	+	405	17
NWMN_0432	AP009351.1	483266	483751	+	486	28
NWMN_0433	AP009351.1	483920	484702	-	783	20
NWMN_0434	AP009351.1	484699	485817	-	1119	12
NWMN_0435	AP009351.1	485932	486816	-	885	2
NWMN_0436	AP009351.1	486997	491496	+	4500	98
NWMN_0437	AP009351.1	491514	492977	+	1464	96
NWMN_0438	AP009351.1	493800	495236	+	1437	1471
NWMN_0439	AP009351.1	495300	496940	+	1641	1501
NWMN_0440	AP009351.1	496965	497693	+	729	724
NWMN_0441	AP009351.1	498332	498856	+	525	31
NWMN_0442	AP009351.1	498925	500622	+	1698	150
NWMN_0443	AP009351.1	500712	501029	+	318	0
NWMN_0444	AP009351.1	501036	501632	+	597	0
NWMN_0445	AP009351.1	508675	510012	+	1338	18
NWMN_0446	AP009351.1	509999	510631	+	633	40
NWMN_0447	AP009351.1	510659	510988	+	330	265
NWMN_0448	AP009351.1	511202	512128	+	927	66
NWMN_0449	AP009351.1	512129	512932	+	804	63
NWMN_0450	AP009351.1	512949	513296	+	348	40
NWMN_0451	AP009351.1	513570	514295	+	726	25
NWMN_0452	AP009351.1	514538	515377	+	840	22
NWMN_0453	AP009351.1	515662	517635	+	1974	116
NWMN_0454	AP009351.1	517666	518439	+	774	77
NWMN_0455	AP009351.1	518606	519142	+	537	15
NWMN_0456	AP009351.1	519153	520046	+	894	25
NWMN_0457	AP009351.1	520146	520409	+	264	233
NWMN_0458	AP009351.1	520719	521567	+	849	74
NWMN_0459	AP009351.1	521581	522405	+	825	295
NWMN_0460	AP009351.1	522422	522802	+	381	983
NWMN_0461	AP009351.1	522874	523176	+	303	933
NWMN_0462	AP009351.1	523514	524872	+	1359	414
NWMN_0463	AP009351.1	525019	525984	+	966	332
NWMN_0464	AP009351.1	526134	526787	+	654	581
NWMN_0465	AP009351.1	527098	527670	+	573	12
NWMN_0466	AP009351.1	527670	531176	+	3507	88
NWMN_0467	AP009351.1	531166	532692	+	1527	56
NWMN_0468	AP009351.1	532689	533885	+	1197	127
NWMN_0469	AP009351.1	534163	534555	+	393	91
NWMN_0470	AP009351.1	534660	535061	+	402	165
NWMN_0471	AP009351.1	535241	536536	+	1296	19
NWMN_0472	AP009351.1	536565	537080	+	516	14
NWMN_0473	AP009351.1	537337	539430	+	2094	408
NWMN_0474	AP009351.1	539659	540540	+	882	100
NWMN_0475	AP009351.1	540719	541651	+	933	1025
NWMN_0476	AP009351.1	541867	542670	+	804	27
NWMN_0477	AP009351.1	542648	543013	+	366	28
NWMN_0478	AP009351.1	543010	543486	+	477	29
NWMN_0479	AP009351.1	543965	545512	+	1548	238
NWMN_0480	AP009351.1	552569	553951	-	1383	0
NWMN_0481	AP009351.1	554055	554942	+	888	555
