"gene","locus_tag","product","combined"
"sarH1","NWMN_0056","staphylococcal accessory regulator A homolog","sarH1: staphylococcal accessory regulator A homolog"
"sirC","NWMN_0057","siderophore compound ABC transporter permease protein SirC","sirC: siderophore compound ABC transporter permease protein SirC"
"sirB","NWMN_0058","siderophore compound ABC transporter permease protein SirB","sirB: siderophore compound ABC transporter permease protein SirB"
"sirA","NWMN_0059","siderophore compound ABC transporter binding protein","sirA: siderophore compound ABC transporter binding protein"
"sbnA","NWMN_0060","O-Acetyl serine sulfhydrylase","sbnA: O-Acetyl serine sulfhydrylase"
"sbnB","NWMN_0061","ornithine cyclodeaminase","sbnB: ornithine cyclodeaminase"
"sbnC","NWMN_0062","siderophore biosynthesis IucC family protein","sbnC: siderophore biosynthesis IucC family protein"
"sbnD","NWMN_0063","membrane transporter protein","sbnD: membrane transporter protein"
"sbnE","NWMN_0064","siderophore biosynthesis IucA family protein","sbnE: siderophore biosynthesis IucA family protein"
"sbnF","NWMN_0065","siderophore biosynthesis IucC family protein","sbnF: siderophore biosynthesis IucC family protein"
"sbnG","NWMN_0066","2-dehydro-3-deoxyglucarate aldolase","sbnG: 2-dehydro-3-deoxyglucarate aldolase"
"sbnH","NWMN_0067","diaminopimelate decarboxylase","sbnH: diaminopimelate decarboxylase"
"sbnI","NWMN_0068","SbnI protein","sbnI: SbnI protein"
"0069","NWMN_0069","conserved hypothetical protein","0069: conserved hypothetical protein"
"0070","NWMN_0070","conserved hypothetical protein","0070: conserved hypothetical protein"
"p:butA","NWMN_0071","glucose/ribitol dehydrogenase","p:butA: glucose/ribitol dehydrogenase"
"p:galE","NWMN_0072","NAD dependent epimerase/dehydratase family protein","p:galE: NAD dependent epimerase/dehydratase family protein"
"0073","NWMN_0073","conserved hypothetical protein","0073: conserved hypothetical protein"
"0074","NWMN_0074","glycosyl transferase%2C group 1 family protein","0074: glycosyl transferase%2C group 1 family protein"
"0075","NWMN_0075","conserved hypothetical protein","0075: conserved hypothetical protein"
"0076","NWMN_0076","polysaccharide extrusion protein","0076: polysaccharide extrusion protein"
"sodM","NWMN_0077","superoxide dismutase","sodM: superoxide dismutase"
"p:sasD","NWMN_0078","conserved hypothetical protein","p:sasD: conserved hypothetical protein"
"0079","NWMN_0079","conserved hypothetical protein","0079: conserved hypothetical protein"
"pnp","NWMN_0080","purine nucleoside phosphorylase","pnp: purine nucleoside phosphorylase"
"p:tet38","NWMN_0081","conserved hypothetical protein","p:tet38: conserved hypothetical protein"
"dra","NWMN_0082","deoxyribose-phosphate aldolase","dra: deoxyribose-phosphate aldolase"
"p:deoB","NWMN_0083","phosphopentomutase","p:deoB: phosphopentomutase"
"p:phnE1","NWMN_0084","phosphonates ABC transporter permease","p:phnE1: phosphonates ABC transporter permease"
"p:phnE2","NWMN_0085","phosphonates ABC transporter permease","p:phnE2: phosphonates ABC transporter permease"
"p:phnC","NWMN_0086","ABC transport ATP-binding protein","p:phnC: ABC transport ATP-binding protein"
"0087","NWMN_0087","conserved hypothetical protein","0087: conserved hypothetical protein"
"0088","NWMN_0088","conserved hypothetical protein","0088: conserved hypothetical protein"
"0089","NWMN_0089","conserved hypothetical protein","0089: conserved hypothetical protein"
"0090","NWMN_0090","conserved hypothetical protein","0090: conserved hypothetical protein"
"0091","NWMN_0091","conserved hypothetical protein","0091: conserved hypothetical protein"
"0092","NWMN_0092","conserved hypothetical protein","0092: conserved hypothetical protein"
"0093","NWMN_0093","truncated IS200 transposase family protein","0093: truncated IS200 transposase family protein"
"adhE","NWMN_0094","iron-containing alcohol dehydrogenase","adhE: iron-containing alcohol dehydrogenase"
"capA.1","NWMN_0095","capsular polysaccharide synthesis enzyme CapA","capA.1: capsular polysaccharide synthesis enzyme CapA"
"capB.1","NWMN_0096","capsular polysaccharide synthesis enzyme CapB","capB.1: capsular polysaccharide synthesis enzyme CapB"
"capC.1","NWMN_0097","capsular polysaccharide synthesis enzyme CapC","capC.1: capsular polysaccharide synthesis enzyme CapC"
"capD.1","NWMN_0098","polysaccharide biosynthesis protein CapD","capD.1: polysaccharide biosynthesis protein CapD"
"capE","NWMN_0099","capsular polysaccharide biosynthesis protein CapE","capE: capsular polysaccharide biosynthesis protein CapE"
"capF","NWMN_0100","capsular polysaccharide synthesis enzyme CapF","capF: capsular polysaccharide synthesis enzyme CapF"
"capG","NWMN_0101","capsular polysaccharide synthesis enzyme CapG","capG: capsular polysaccharide synthesis enzyme CapG"
"capH","NWMN_0102","capsular polysaccharide synthesis enzyme O-acetyl transferase CapH","capH: capsular polysaccharide synthesis enzyme O-acetyl transferase CapH"
"capI","NWMN_0103","capsular polysaccharide biosynthesis protein CapI","capI: capsular polysaccharide biosynthesis protein CapI"
"capJ","NWMN_0104","capsular polysaccharide biosynthesis protein CapJ","capJ: capsular polysaccharide biosynthesis protein CapJ"
"capK","NWMN_0105","capsular polysaccharide biosynthesis protein CapK","capK: capsular polysaccharide biosynthesis protein CapK"
"capL","NWMN_0106","capsular polysaccharide biosynthesis protein glycosyltransferase CapL","capL: capsular polysaccharide biosynthesis protein glycosyltransferase CapL"
"capM","NWMN_0107","capsular polysaccharide biosynthesis protein CapM","capM: capsular polysaccharide biosynthesis protein CapM"
"capN","NWMN_0108","capsular polysaccharide biosynthesis protein CapN","capN: capsular polysaccharide biosynthesis protein CapN"
"capO","NWMN_0109","capsular polysaccharide biosynthesis protein CapO","capO: capsular polysaccharide biosynthesis protein CapO"
"capP","NWMN_0110","capsular polysaccharide biosynthesis protein CapP","capP: capsular polysaccharide biosynthesis protein CapP"
"p:isdI","NWMN_0111","conserved hypothetical protein","p:isdI: conserved hypothetical protein"
"0112","NWMN_0112","conserved hypothetical protein","0112: conserved hypothetical protein"
"aldA","NWMN_0113","aldehyde dehydrogenase homolog","aldA: aldehyde dehydrogenase homolog"
"0114","NWMN_0114","cation efflux family protein","0114: cation efflux family protein"
"0115","NWMN_0115","conserved hypothetical protein","0115: conserved hypothetical protein"
"p:ssuB","NWMN_0116","conserved hypothetical protein","p:ssuB: conserved hypothetical protein"
"p:ssuA","NWMN_0117","conserved hypothetical protein","p:ssuA: conserved hypothetical protein"
"p:ssuC","NWMN_0118","conserved hypothetical protein","p:ssuC: conserved hypothetical protein"
"0119","NWMN_0119","conserved hypothetical protein","0119: conserved hypothetical protein"
"0120","NWMN_0120","conserved hypothetical protein","0120: conserved hypothetical protein"
"p:fdh","NWMN_0121","D-isomer specific 2-hydroxyacid dehydrogenase","p:fdh: D-isomer specific 2-hydroxyacid dehydrogenase"
"0122","NWMN_0122","conserved hypothetical protein","0122: conserved hypothetical protein"
"p:ausA","NWMN_0123","conserved hypothetical protein","p:ausA: conserved hypothetical protein"
"0124","NWMN_0124","4'-phosphopantetheinyl transferase superfamily protein","0124: 4'-phosphopantetheinyl transferase superfamily protein"
"0125","NWMN_0125","conserved hypothetical protein","0125: conserved hypothetical protein"
"p:argB","NWMN_0126","acetylglutamate kinase","p:argB: acetylglutamate kinase"
"argJ","NWMN_0127","arginine biosynthesis bifunctional protein","argJ: arginine biosynthesis bifunctional protein"
"argC","NWMN_0128","N-acetyl-gamma-glutamyl-phosphate reductase","argC: N-acetyl-gamma-glutamyl-phosphate reductase"
"argD","NWMN_0129","ornithine aminotransferase","argD: ornithine aminotransferase"
"p:brnQ1","NWMN_0130","branched-chain amino acid transport system II carrier protein","p:brnQ1: branched-chain amino acid transport system II carrier protein"
"entB","NWMN_0131","isochorismatase","entB: isochorismatase"
"ipdC","NWMN_0132","indole-3-pyruvate decarboxylase","ipdC: indole-3-pyruvate decarboxylase"
"glcA","NWMN_0133","glucose-specific PTS transporter protein IIABC component","glcA: glucose-specific PTS transporter protein IIABC component"
"p:mupG","NWMN_0134","conserved hypothetical protein","p:mupG: conserved hypothetical protein"
"murQ","NWMN_0135","conserved hypothetical protein","murQ: conserved hypothetical protein"
"p:murP","NWMN_0136","sucrose-specific PTS transporter IIBC component protein","p:murP: sucrose-specific PTS transporter IIBC component protein"
"p:murR","NWMN_0137","RpiR family transcriptional regulator","p:murR: RpiR family transcriptional regulator"
"0138","NWMN_0138","conserved hypothetical protein","0138: conserved hypothetical protein"
"hsdR","NWMN_0139","type-I restriction-modification system restriction endonuclease subunit","hsdR: type-I restriction-modification system restriction endonuclease subunit"
"0140","NWMN_0140","conserved hypothetical protein","0140: conserved hypothetical protein"
"0141","NWMN_0141","conserved hypothetical protein","0141: conserved hypothetical protein"
"0142","NWMN_0142","conserved hypothetical protein","0142: conserved hypothetical protein"
"p:gisA","NWMN_0143","oligopeptide ABC transporter%2C ATP-binding protein","p:gisA: oligopeptide ABC transporter%2C ATP-binding protein"
"p:gisB","NWMN_0144","oligopeptide ABC transporter%2C permease protein","p:gisB: oligopeptide ABC transporter%2C permease protein"
"p:gisC","NWMN_0145","peptide ABC transporter%2C permease protein","p:gisC: peptide ABC transporter%2C permease protein"
"rlp","NWMN_0146","RGD-containing lipoprotein","rlp: RGD-containing lipoprotein"
"p:ggt","NWMN_0147","conserved hypothetical protein","p:ggt: conserved hypothetical protein"
"0148","NWMN_0148","conserved hypothetical protein","0148: conserved hypothetical protein"
"p:azoR","NWMN_0149","acyl carrier protein phosphodiesterase","p:azoR: acyl carrier protein phosphodiesterase"
"0150","NWMN_0150","conserved hypothetical protein","0150: conserved hypothetical protein"
"p:malK","NWMN_0151","conserved hypothetical protein","p:malK: conserved hypothetical protein"
"p:malE","NWMN_0152","conserved hypothetical protein","p:malE: conserved hypothetical protein"
"p:malF","NWMN_0153","conserved hypothetical protein","p:malF: conserved hypothetical protein"
"0154","NWMN_0154","conserved hypothetical protein","0154: conserved hypothetical protein"
"0155","NWMN_0155","conserved hypothetical protein","0155: conserved hypothetical protein"
"0156","NWMN_0156","conserved hypothetical protein","0156: conserved hypothetical protein"
"0157","NWMN_0157","conserved hypothetical protein","0157: conserved hypothetical protein"
"uhpT","NWMN_0158","sugar phosphate transport protein","uhpT: sugar phosphate transport protein"
"p:hptR","NWMN_0159","DNA-binding response regulator AraC family protein","p:hptR: DNA-binding response regulator AraC family protein"
"p:hptS","NWMN_0160","conserved hypothetical protein","p:hptS: conserved hypothetical protein"
"p:hptA","NWMN_0161","conserved hypothetical protein","p:hptA: conserved hypothetical protein"
"pflB","NWMN_0162","formate acetyltransferase","pflB: formate acetyltransferase"
"p:pflA","NWMN_0163","conserved hypothetical protein","p:pflA: conserved hypothetical protein"
"0164","NWMN_0164","glycerophosphoryl diester phosphodiesterase","0164: glycerophosphoryl diester phosphodiesterase"
"0165","NWMN_0165","conserved hypothetical protein","0165: conserved hypothetical protein"
"coa","NWMN_0166","coagulase precursor","coa: coagulase precursor"
"fadA","NWMN_0167","acetyl-CoA acetyltransferase homolog","fadA: acetyl-CoA acetyltransferase homolog"
"fadB","NWMN_0168","3-hydroxyacyl-CoA dehydrogenase FadB homolog","fadB: 3-hydroxyacyl-CoA dehydrogenase FadB homolog"
"fadD","NWMN_0169","acyl-CoA dehydrogenase FadD homolog","fadD: acyl-CoA dehydrogenase FadD homolog"
"fadE","NWMN_0170","acyl-CoA synthetase FadE homolog","fadE: acyl-CoA synthetase FadE homolog"
"p:fadX","NWMN_0171","acetyl-CoA/acetoacetyl-CoA transferase","p:fadX: acetyl-CoA/acetoacetyl-CoA transferase"
"p:prsS","NWMN_0172","conserved hypothetical protein","p:prsS: conserved hypothetical protein"
"p:nikA","NWMN_0173","ABC transporter%2C substrate-binding protein","p:nikA: ABC transporter%2C substrate-binding protein"
"0174","NWMN_0174","conserved hypothetical protein","0174: conserved hypothetical protein"
"p:hmp","NWMN_0175","flavohemoprotein","p:hmp: flavohemoprotein"
"ldh1","NWMN_0176","L-lactate dehydrogenase","ldh1: L-lactate dehydrogenase"
"p:glcC","NWMN_0177","conserved hypothetical protein","p:glcC: conserved hypothetical protein"
"0178","NWMN_0178","conserved hypothetical protein","0178: conserved hypothetical protein"
"0179","NWMN_0179","transcriptional antiterminator BglG family protein","0179: transcriptional antiterminator BglG family protein"
"0180","NWMN_0180","conserved hypothetical protein","0180: conserved hypothetical protein"
"0181","NWMN_0181","conserved hypothetical protein","0181: conserved hypothetical protein"
"0182","NWMN_0182","conserved hypothetical protein","0182: conserved hypothetical protein"
"0183","NWMN_0183","sorbitol dehydrogenase","0183: sorbitol dehydrogenase"
"0184","NWMN_0184","conserved hypothetical protein","0184: conserved hypothetical protein"
"p:tarI'","NWMN_0185","conserved hypothetical protein","p:tarI': conserved hypothetical protein"
"p:tarJ'","NWMN_0186","zinc-containing alcohol dehydrogenase","p:tarJ': zinc-containing alcohol dehydrogenase"
"p:tarL'","NWMN_0187","conserved hypothetical protein","p:tarL': conserved hypothetical protein"
"p:tarF","NWMN_0188","conserved hypothetical protein","p:tarF: conserved hypothetical protein"
"ispD","NWMN_0189","conserved hypothetical protein","ispD: conserved hypothetical protein"
"p:tarJ","NWMN_0190","conserved hypothetical protein","p:tarJ: conserved hypothetical protein"
"p:tarL","NWMN_0191","conserved hypothetical protein","p:tarL: conserved hypothetical protein"
"p:tarS","NWMN_0192","glycosyl transferase group 2 family protein","p:tarS: glycosyl transferase group 2 family protein"
"scdA","NWMN_0193","cell wall metabolism protein","scdA: cell wall metabolism protein"
"lytS","NWMN_0194","autolysin sensor histidine kinase protein","lytS: autolysin sensor histidine kinase protein"
"lytR","NWMN_0195","autolysin two-component response regulator","lytR: autolysin two-component response regulator"
"lrgA","NWMN_0196","murein hydrolase regulator LrgA","lrgA: murein hydrolase regulator LrgA"
"lrgB","NWMN_0197","antiholin-like protein LrgB","lrgB: antiholin-like protein LrgB"
"p:bglR","NWMN_0198","transcriptional regulator%2C GntR family protein","p:bglR: transcriptional regulator%2C GntR family protein"
"0199","NWMN_0199","PTS system%2C IIA component","0199: PTS system%2C IIA component"
"bglA","NWMN_0200","6-phospho-beta-glucosidase","bglA: 6-phospho-beta-glucosidase"
"0201","NWMN_0201","conserved hypothetical protein","0201: conserved hypothetical protein"
"rbsK","NWMN_0202","ribokinase","rbsK: ribokinase"
"rbsD","NWMN_0203","ribose ABC transporter protein","rbsD: ribose ABC transporter protein"
"rbsU","NWMN_0204","ribose transporter RbsU","rbsU: ribose transporter RbsU"
"rbsR","NWMN_0205","ribose transcriptional repressor RbsR","rbsR: ribose transcriptional repressor RbsR"
"0206","NWMN_0206","conserved hypothetical protein","0206: conserved hypothetical protein"
"0207","NWMN_0207","conserved hypothetical protein","0207: conserved hypothetical protein"
"0208","NWMN_0208","conserved hypothetical protein","0208: conserved hypothetical protein"
"0209","NWMN_0209","choloylglycine hydrolase family protein","0209: choloylglycine hydrolase family protein"
"lytM","NWMN_0210","peptidoglycan hydrolase","lytM: peptidoglycan hydrolase"
"0211","NWMN_0211","conserved hypothetical protein","0211: conserved hypothetical protein"
"0212","NWMN_0212","conserved hypothetical protein","0212: conserved hypothetical protein"
"0213","NWMN_0213","conserved hypothetical protein","0213: conserved hypothetical protein"
"0214","NWMN_0214","hypothetical protein","0214: hypothetical protein"
"0215","NWMN_0215","conserved hypothetical protein","0215: conserved hypothetical protein"
"0216","NWMN_0216","conserved hypothetical protein","0216: conserved hypothetical protein"
"0217","NWMN_0217","conserved hypothetical protein","0217: conserved hypothetical protein"
"0218","NWMN_0218","staphyloxanthin biosynthesis protein","0218: staphyloxanthin biosynthesis protein"
"p:esxA","NWMN_0219","conserved hypothetical protein","p:esxA: conserved hypothetical protein"
"p:esaA","NWMN_0220","conserved hypothetical protein","p:esaA: conserved hypothetical protein"
"p:essA","NWMN_0221","conserved hypothetical protein","p:essA: conserved hypothetical protein"
"p:essB","NWMN_0222","conserved hypothetical protein","p:essB: conserved hypothetical protein"
"p:essC","NWMN_0223","conserved hypothetical protein","p:essC: conserved hypothetical protein"
"p:esxC","NWMN_0224","conserved hypothetical protein","p:esxC: conserved hypothetical protein"
"p:esxB","NWMN_0225","conserved hypothetical protein","p:esxB: conserved hypothetical protein"
"p:esaE","NWMN_0226","conserved hypothetical protein","p:esaE: conserved hypothetical protein"
"p:esxD","NWMN_0227","conserved hypothetical protein","p:esxD: conserved hypothetical protein"
"p:esaD","NWMN_0228","conserved hypothetical protein","p:esaD: conserved hypothetical protein"
"p:esaG1","NWMN_0229","conserved hypothetical protein","p:esaG1: conserved hypothetical protein"
"0230","NWMN_0230","conserved hypothetical protein","0230: conserved hypothetical protein"
"0231","NWMN_0231","conserved hypothetical protein","0231: conserved hypothetical protein"
"0232","NWMN_0232","conserved hypothetical protein","0232: conserved hypothetical protein"
"0233","NWMN_0233","conserved hypothetical protein","0233: conserved hypothetical protein"
"0234","NWMN_0234","conserved hypothetical protein","0234: conserved hypothetical protein"
"0235","NWMN_0235","conserved hypothetical protein","0235: conserved hypothetical protein"
"0236","NWMN_0236","conserved hypothetical protein","0236: conserved hypothetical protein"
"0237","NWMN_0237","conserved hypothetical protein","0237: conserved hypothetical protein"
"0238","NWMN_0238","conserved hypothetical protein","0238: conserved hypothetical protein"
"0239","NWMN_0239","conserved hypothetical protein","0239: conserved hypothetical protein"
"0240","NWMN_0240","conserved hypothetical protein","0240: conserved hypothetical protein"
"0241","NWMN_0241","conserved hypothetical protein","0241: conserved hypothetical protein"
"0242","NWMN_0242","conserved hypothetical protein","0242: conserved hypothetical protein"
"0243","NWMN_0243","conserved hypothetical protein","0243: conserved hypothetical protein"
"0244","NWMN_0244","conserved hypothetical protein","0244: conserved hypothetical protein"
"0245","NWMN_0245","conserved hypothetical protein","0245: conserved hypothetical protein"
"0246","NWMN_0246","conserved hypothetical protein","0246: conserved hypothetical protein"
"0247","NWMN_0247","formate/nitrite transporter family protein","0247: formate/nitrite transporter family protein"
"p:brnQ2","NWMN_0248","branched-chain amino acid transport system II carrier protein","p:brnQ2: branched-chain amino acid transport system II carrier protein"
"0249","NWMN_0249","5'-nucleotidase%2C lipoprotein e(P4) family protein","0249: 5'-nucleotidase%2C lipoprotein e(P4) family protein"
"0250","NWMN_0250","ABC transporter%2C permease protein","0250: ABC transporter%2C permease protein"
"0251","NWMN_0251","ABC transporter ATP-binding protein","0251: ABC transporter ATP-binding protein"
"0252","NWMN_0252","conserved hypothetical protein","0252: conserved hypothetical protein"
"0253","NWMN_0253","conserved hypothetical protein","0253: conserved hypothetical protein"
"p:psuG","NWMN_0254","conserved hypothetical protein","p:psuG: conserved hypothetical protein"
"0255","NWMN_0255","conserved hypothetical protein","0255: conserved hypothetical protein"
"p:nanT","NWMN_0256","conserved hypothetical protein","p:nanT: conserved hypothetical protein"
"nanA","NWMN_0257","N-acetylneuraminate lyase","nanA: N-acetylneuraminate lyase"
"p:nanK","NWMN_0258","conserved hypothetical protein","p:nanK: conserved hypothetical protein"
"p:nanR","NWMN_0259","conserved hypothetical protein","p:nanR: conserved hypothetical protein"
"nanE","NWMN_0260","N-acetylmannosamine-6-phosphate 2-epimerase","nanE: N-acetylmannosamine-6-phosphate 2-epimerase"
"0261","NWMN_0261","conserved hypothetical protein","0261: conserved hypothetical protein"
"geh","NWMN_0262","truncated triacylglycerol lipase precursor","geh: truncated triacylglycerol lipase precursor"
"int.1","NWMN_0263","integrase","int.1: integrase"
"0264","NWMN_0264","conserved hypothetical protein","0264: conserved hypothetical protein"
"0265","NWMN_0265","conserved hypothetical protein","0265: conserved hypothetical protein"
"0266","NWMN_0266","conserved hypothetical protein","0266: conserved hypothetical protein"
"0267","NWMN_0267","conserved hypothetical protein","0267: conserved hypothetical protein"
"0268","NWMN_0268","phage anti-repressor protein","0268: phage anti-repressor protein"
"0269","NWMN_0269","conserved hypothetical protein","0269: conserved hypothetical protein"
"0270","NWMN_0270","conserved hypothetical protein","0270: conserved hypothetical protein"
"0271","NWMN_0271","conserved hypothetical protein","0271: conserved hypothetical protein"
"0272","NWMN_0272","conserved hypothetical protein","0272: conserved hypothetical protein"
"0273","NWMN_0273","conserved hypothetical protein","0273: conserved hypothetical protein"
"0274","NWMN_0274","conserved hypothetical protein","0274: conserved hypothetical protein"
"0275","NWMN_0275","conserved hypothetical protein","0275: conserved hypothetical protein"
"0276","NWMN_0276","conserved hypothetical protein","0276: conserved hypothetical protein"
"0277","NWMN_0277","conserved hypothetical protein","0277: conserved hypothetical protein"
"0278","NWMN_0278","conserved hypothetical protein","0278: conserved hypothetical protein"
"0279","NWMN_0279","conserved hypothetical protein","0279: conserved hypothetical protein"
"0280","NWMN_0280","conserved hypothetical protein","0280: conserved hypothetical protein"
"0281","NWMN_0281","conserved hypothetical protein","0281: conserved hypothetical protein"
"0282","NWMN_0282","conserved hypothetical protein","0282: conserved hypothetical protein"
"0283","NWMN_0283","conserved hypothetical protein","0283: conserved hypothetical protein"
"0284","NWMN_0284","conserved hypothetical protein","0284: conserved hypothetical protein"
"0285","NWMN_0285","conserved hypothetical protein","0285: conserved hypothetical protein"
"0286","NWMN_0286","conserved hypothetical protein","0286: conserved hypothetical protein"
"0287","NWMN_0287","conserved hypothetical protein","0287: conserved hypothetical protein"
"0288","NWMN_0288","conserved hypothetical protein","0288: conserved hypothetical protein"
"0289","NWMN_0289","phage terminase large subunit","0289: phage terminase large subunit"
"0290","NWMN_0290","phage portal protein","0290: phage portal protein"
"0291","NWMN_0291","conserved hypothetical protein","0291: conserved hypothetical protein"
"0292","NWMN_0292","conserved hypothetical protein","0292: conserved hypothetical protein"
"0293","NWMN_0293","conserved hypothetical protein","0293: conserved hypothetical protein"
"0294","NWMN_0294","phage major head protein","0294: phage major head protein"
"0295","NWMN_0295","conserved hypothetical protein","0295: conserved hypothetical protein"
"0296","NWMN_0296","conserved hypothetical protein","0296: conserved hypothetical protein"
"0297","NWMN_0297","conserved hypothetical protein","0297: conserved hypothetical protein"
"0298","NWMN_0298","conserved hypothetical protein","0298: conserved hypothetical protein"
"0299","NWMN_0299","conserved hypothetical protein","0299: conserved hypothetical protein"
"0300","NWMN_0300","conserved hypothetical protein","0300: conserved hypothetical protein"
"0301","NWMN_0301","conserved hypothetical protein","0301: conserved hypothetical protein"
"0302","NWMN_0302","phage tape measure protein","0302: phage tape measure protein"
"0303","NWMN_0303","conserved hypothetical protein","0303: conserved hypothetical protein"
"0304","NWMN_0304","phage minor structural protein","0304: phage minor structural protein"
"0305","NWMN_0305","conserved hypothetical protein","0305: conserved hypothetical protein"
"0306","NWMN_0306","conserved hypothetical protein","0306: conserved hypothetical protein"
"0307","NWMN_0307","conserved hypothetical protein","0307: conserved hypothetical protein"
"0308","NWMN_0308","conserved hypothetical protein","0308: conserved hypothetical protein"
"0309","NWMN_0309","phage N-acetylglucosamidase","0309: phage N-acetylglucosamidase"
"0310","NWMN_0310","phage tail fiber","0310: phage tail fiber"
"0311","NWMN_0311","conserved hypothetical protein","0311: conserved hypothetical protein"
"0312","NWMN_0312","phage holin","0312: phage holin"
"0313","NWMN_0313","amidase","0313: amidase"
"0314","NWMN_0314","conserved hypothetical protein","0314: conserved hypothetical protein"
"0315","NWMN_0315","NADH-dependent flavin oxidoreductase Oye family protein","0315: NADH-dependent flavin oxidoreductase Oye family protein"
"0316","NWMN_0316","conserved hypothetical protein","0316: conserved hypothetical protein"
