# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "../inputs/genomes/RATT/genomes/Newman/genomic.gff3" "-o" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/featureCounts/R3_NM-I_t12_S9_Newman_counts.txt" "-p" "--countReadPairs" "-s" "2" "-O" "--primary" "-t" "CDS" "-g" "locus_tag" "-T" "8" "/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R3_NM-I_t12_S9.bam" 
Geneid	Chr	Start	End	Strand	Length	/shares/kouyos.virology.uzh/tdemet/mariane_RNAseq/o39765_results/Newman/bowtie2/R3_NM-I_t12_S9.bam
NWMN_0126	AP009351.1	157931	158695	-	765	6
NWMN_0127	AP009351.1	158711	159952	-	1242	6
NWMN_0128	AP009351.1	159964	160998	-	1035	2
NWMN_0129	AP009351.1	161034	162218	-	1185	3
NWMN_0130	AP009351.1	162471	163826	-	1356	36
NWMN_0131	AP009351.1	164102	164659	-	558	77
NWMN_0132	AP009351.1	164726	166366	-	1641	245
NWMN_0133	AP009351.1	166640	168685	-	2046	167
NWMN_0134	AP009351.1	169253	170326	+	1074	393
NWMN_0135	AP009351.1	170323	171222	+	900	307
NWMN_0136	AP009351.1	171234	172688	+	1455	423
NWMN_0137	AP009351.1	172688	173566	+	879	272
NWMN_0138	AP009351.1	173760	174041	-	282	1
NWMN_0139	AP009351.1	174254	177043	+	2790	142
NWMN_0140	AP009351.1	177248	178090	+	843	46
NWMN_0141	AP009351.1	178092	179015	+	924	49
NWMN_0142	AP009351.1	179002	180114	+	1113	52
NWMN_0143	AP009351.1	180379	181971	-	1593	24
NWMN_0144	AP009351.1	181928	183406	+	1479	0
NWMN_0145	AP009351.1	183412	184575	+	1164	4
NWMN_0146	AP009351.1	184592	186367	+	1776	9
NWMN_0147	AP009351.1	186405	188411	+	2007	31
NWMN_0148	AP009351.1	188709	189482	-	774	16
NWMN_0149	AP009351.1	189672	190370	-	699	156
NWMN_0150	AP009351.1	190507	191085	+	579	21
NWMN_0151	AP009351.1	191468	192565	+	1098	12
NWMN_0152	AP009351.1	192578	193849	+	1272	12
NWMN_0153	AP009351.1	193852	195120	+	1269	59
NWMN_0154	AP009351.1	195044	195961	+	918	59
NWMN_0155	AP009351.1	196032	197111	+	1080	210
NWMN_0156	AP009351.1	198189	199199	+	1011	247
NWMN_0157	AP009351.1	199560	200132	-	573	15
NWMN_0158	AP009351.1	200269	201666	+	1398	86
NWMN_0159	AP009351.1	202025	202783	-	759	35
NWMN_0160	AP009351.1	202776	204332	-	1557	33
NWMN_0161	AP009351.1	204329	205297	-	969	16
NWMN_0162	AP009351.1	205885	208134	+	2250	26010
NWMN_0163	AP009351.1	208157	208912	+	756	10206
NWMN_0164	AP009351.1	209197	211011	+	1815	99
NWMN_0165	AP009351.1	211175	211519	-	345	68
NWMN_0166	AP009351.1	211709	213619	+	1911	77
NWMN_0167	AP009351.1	214222	215406	-	1185	49
NWMN_0168	AP009351.1	215436	217697	-	2262	54
NWMN_0169	AP009351.1	217883	219139	-	1257	36
NWMN_0170	AP009351.1	219206	220711	-	1506	32
NWMN_0171	AP009351.1	220737	222314	-	1578	137
NWMN_0172	AP009351.1	222650	223897	+	1248	11
NWMN_0173	AP009351.1	224211	225686	-	1476	49
NWMN_0174	AP009351.1	225884	226240	-	357	11
NWMN_0175	AP009351.1	226596	227741	-	1146	338
NWMN_0176	AP009351.1	228314	229267	+	954	2307
NWMN_0177	AP009351.1	229587	231122	-	1536	81
NWMN_0178	AP009351.1	231478	232413	+	936	44
NWMN_0179	AP009351.1	232752	234848	+	2097	4
NWMN_0180	AP009351.1	234833	235300	+	468	0
NWMN_0181	AP009351.1	235323	235601	+	279	0
NWMN_0182	AP009351.1	235828	237087	+	1260	1
NWMN_0183	AP009351.1	237105	238160	+	1056	2
NWMN_0184	AP009351.1	238332	239375	+	1044	6
NWMN_0185	AP009351.1	239903	240619	+	717	54
NWMN_0186	AP009351.1	240612	241637	+	1026	60
NWMN_0187	AP009351.1	241659	243353	+	1695	120
NWMN_0188	AP009351.1	243781	244950	+	1170	30
NWMN_0189	AP009351.1	245226	245942	+	717	59
NWMN_0190	AP009351.1	245935	246960	+	1026	129
NWMN_0191	AP009351.1	246982	248670	+	1689	228
NWMN_0192	AP009351.1	248706	250427	+	1722	412
NWMN_0193	AP009351.1	250567	251241	+	675	179
NWMN_0194	AP009351.1	251488	253242	+	1755	89
NWMN_0195	AP009351.1	253245	253985	+	741	11
NWMN_0196	AP009351.1	254098	254541	+	444	67
NWMN_0197	AP009351.1	254534	255235	+	702	317
NWMN_0198	AP009351.1	255343	256047	-	705	43
NWMN_0199	AP009351.1	256196	256987	+	792	6
NWMN_0200	AP009351.1	257003	258439	+	1437	14
NWMN_0201	AP009351.1	258873	259634	-	762	5
NWMN_0202	AP009351.1	259885	260799	-	915	47
NWMN_0203	AP009351.1	260827	261231	-	405	26
NWMN_0204	AP009351.1	261246	262136	-	891	53
NWMN_0205	AP009351.1	262359	263357	-	999	106
NWMN_0206	AP009351.1	263737	264129	+	393	4
NWMN_0207	AP009351.1	264357	264761	+	405	1
NWMN_0208	AP009351.1	264802	266178	-	1377	7
NWMN_0209	AP009351.1	266412	267404	+	993	17
NWMN_0210	AP009351.1	267940	268680	+	741	27
NWMN_0211	AP009351.1	268732	269391	-	660	8
NWMN_0212	AP009351.1	269405	270325	-	921	0
NWMN_0213	AP009351.1	270322	271488	-	1167	1
NWMN_0214	AP009351.1	271653	271775	+	123	0
NWMN_0215	AP009351.1	272046	273095	-	1050	0
NWMN_0216	AP009351.1	273351	274004	+	654	0
NWMN_0217	AP009351.1	274038	274625	+	588	1
NWMN_0218	AP009351.1	274768	275670	-	903	13
NWMN_0219	AP009351.1	275909	276202	+	294	193
NWMN_0220	AP009351.1	276286	279315	+	3030	18
NWMN_0221	AP009351.1	279315	279773	+	459	5
NWMN_0222	AP009351.1	280000	281334	+	1335	2
NWMN_0223	AP009351.1	281356	285795	+	4440	16
NWMN_0224	AP009351.1	285825	286217	+	393	3
NWMN_0225	AP009351.1	286233	286547	+	315	7
NWMN_0226	AP009351.1	286547	287221	+	675	8
NWMN_0227	AP009351.1	287221	287538	+	318	11
NWMN_0228	AP009351.1	287539	289392	+	1854	171
NWMN_0229	AP009351.1	289403	289894	+	492	95
NWMN_0230	AP009351.1	290102	290785	+	684	3
NWMN_0231	AP009351.1	290932	291543	+	612	3
NWMN_0232	AP009351.1	291679	291897	+	219	5
NWMN_0233	AP009351.1	292029	292529	+	501	7
NWMN_0234	AP009351.1	292540	293040	+	501	7
NWMN_0235	AP009351.1	293169	293546	+	378	6
NWMN_0236	AP009351.1	293557	294048	+	492	7
NWMN_0237	AP009351.1	294258	294941	+	684	5
NWMN_0238	AP009351.1	295527	296027	+	501	16
NWMN_0239	AP009351.1	296039	296539	+	501	11
NWMN_0240	AP009351.1	296550	297050	+	501	9
NWMN_0241	AP009351.1	297061	297561	+	501	9
NWMN_0242	AP009351.1	297572	298072	+	501	7
NWMN_0243	AP009351.1	298083	298583	+	501	5
NWMN_0244	AP009351.1	298621	299082	+	462	7
NWMN_0245	AP009351.1	299704	300078	+	375	9
NWMN_0246	AP009351.1	300231	300629	+	399	11
NWMN_0247	AP009351.1	300845	301690	-	846	152
NWMN_0248	AP009351.1	301906	303213	-	1308	131
NWMN_0249	AP009351.1	303797	304687	+	891	3
NWMN_0250	AP009351.1	304936	305985	+	1050	549
NWMN_0251	AP009351.1	305998	306675	+	678	748
NWMN_0252	AP009351.1	306877	307914	+	1038	65
NWMN_0253	AP009351.1	308254	309372	+	1119	9
NWMN_0254	AP009351.1	309347	310270	+	924	11
NWMN_0255	AP009351.1	310281	311501	+	1221	12
NWMN_0256	AP009351.1	311606	313138	-	1533	43
NWMN_0257	AP009351.1	313178	314059	-	882	24
NWMN_0258	AP009351.1	314217	315077	+	861	18
NWMN_0259	AP009351.1	315355	316155	-	801	37
NWMN_0260	AP009351.1	316295	316963	+	669	44
NWMN_0261	AP009351.1	317090	318451	-	1362	6
NWMN_0262	AP009351.1	318821	320755	+	1935	272
NWMN_0263	AP009351.1	320846	322051	-	1206	13
NWMN_0264	AP009351.1	322321	323253	-	933	58
NWMN_0265	AP009351.1	323285	323749	-	465	10
NWMN_0266	AP009351.1	323762	324283	-	522	13
NWMN_0267	AP009351.1	324758	325240	-	483	2
NWMN_0268	AP009351.1	325300	326049	+	750	31
NWMN_0269	AP009351.1	326313	326576	+	264	3
NWMN_0270	AP009351.1	326841	327101	+	261	23
NWMN_2615	AP009351.1	327111	327332	+	222	21
NWMN_0271	AP009351.1	327325	328113	+	789	47
NWMN_0272	AP009351.1	328142	328693	+	552	29
NWMN_0273	AP009351.1	328706	329377	+	672	29
NWMN_0274	AP009351.1	329483	330340	-	858	382
NWMN_0275	AP009351.1	330405	331175	+	771	13
NWMN_0276	AP009351.1	331185	331964	+	780	13
NWMN_0277	AP009351.1	332360	332767	+	408	5
NWMN_0278	AP009351.1	332953	333312	+	360	10
NWMN_0279	AP009351.1	333312	333566	+	255	6
NWMN_0280	AP009351.1	333572	333814	+	243	5
NWMN_0281	AP009351.1	333829	334230	+	402	7
NWMN_0282	AP009351.1	334418	334867	+	450	14
NWMN_0283	AP009351.1	334864	335148	+	285	10
NWMN_0284	AP009351.1	335382	335918	+	537	14
NWMN_0285	AP009351.1	336545	336781	+	237	9
NWMN_0286	AP009351.1	336774	337160	+	387	10
NWMN_0287	AP009351.1	337331	337732	+	402	32
NWMN_0288	AP009351.1	338116	338577	+	462	4
NWMN_0289	AP009351.1	338570	339793	+	1224	13
NWMN_0290	AP009351.1	339790	341214	+	1425	41
NWMN_0291	AP009351.1	341183	342136	+	954	31
NWMN_0292	AP009351.1	342005	342334	-	330	0
NWMN_0293	AP009351.1	342447	343031	+	585	52
NWMN_0294	AP009351.1	343048	343962	+	915	43
NWMN_0295	AP009351.1	344123	344473	+	351	18
NWMN_0296	AP009351.1	344485	344820	+	336	27
NWMN_0297	AP009351.1	344771	345220	+	450	33
NWMN_0298	AP009351.1	345233	345658	+	426	19
NWMN_0299	AP009351.1	345659	346216	+	558	41
NWMN_0300	AP009351.1	346283	346789	+	507	9
NWMN_0301	AP009351.1	346969	347118	+	150	4
NWMN_0302	AP009351.1	347122	350265	+	3144	72
NWMN_0303	AP009351.1	350280	351221	+	942	18
NWMN_0304	AP009351.1	351232	353118	+	1887	32
NWMN_0305	AP009351.1	353131	355029	+	1899	16
NWMN_0306	AP009351.1	355029	356852	+	1824	36
NWMN_0307	AP009351.1	356852	357229	+	378	6
NWMN_0308	AP009351.1	357446	357745	+	300	4
NWMN_0309	AP009351.1	357882	359780	+	1899	12
NWMN_0310	AP009351.1	359793	360965	+	1173	10
NWMN_0311	AP009351.1	360962	361366	+	405	3
NWMN_0312	AP009351.1	361422	361724	+	303	0
NWMN_0313	AP009351.1	361736	363190	+	1455	10
NWMN_0314	AP009351.1	364324	365151	-	828	27
NWMN_0315	AP009351.1	365224	366423	-	1200	28
NWMN_0316	AP009351.1	366725	367726	+	1002	59
NWMN_0317	AP009351.1	367760	368092	+	333	16
NWMN_0318	AP009351.1	368093	368893	+	801	28
NWMN_0319	AP009351.1	368883	369827	+	945	17
NWMN_0320	AP009351.1	369805	370827	+	1023	17
NWMN_0321	AP009351.1	371142	372167	+	1026	374
NWMN_0322	AP009351.1	372260	373606	-	1347	248
NWMN_0323	AP009351.1	373621	373905	-	285	57
NWMN_0324	AP009351.1	373907	374350	-	444	40
NWMN_0325	AP009351.1	374355	376310	-	1956	37
NWMN_0326	AP009351.1	376522	376941	+	420	160
NWMN_0327	AP009351.1	377048	378403	+	1356	20
NWMN_0328	AP009351.1	378507	378947	+	441	8
NWMN_0329	AP009351.1	379030	380388	-	1359	36
NWMN_0330	AP009351.1	380696	381622	+	927	107
NWMN_0331	AP009351.1	381636	382697	+	1062	255
NWMN_0332	AP009351.1	382711	383277	+	567	182
NWMN_0333	AP009351.1	383337	384332	-	996	15
NWMN_0334	AP009351.1	384430	384726	+	297	2
NWMN_0335	AP009351.1	384806	385351	+	546	27
NWMN_0336	AP009351.1	385619	386473	+	855	6
NWMN_0337	AP009351.1	386470	387699	+	1230	11
NWMN_0338	AP009351.1	387677	389392	+	1716	13
NWMN_0339	AP009351.1	389484	390140	-	657	11
NWMN_0340	AP009351.1	390202	390417	-	216	12
NWMN_0341	AP009351.1	390526	390915	-	390	24
NWMN_0342	AP009351.1	391356	392069	+	714	14
NWMN_0343	AP009351.1	392094	392936	+	843	37
NWMN_0344	AP009351.1	392936	393565	+	630	45
NWMN_0345	AP009351.1	393932	395065	-	1134	7
NWMN_0346	AP009351.1	395604	396785	+	1182	318
NWMN_0347	AP009351.1	396868	397620	-	753	28
NWMN_0348	AP009351.1	397663	399891	-	2229	27
NWMN_0349	AP009351.1	399888	401729	-	1842	8
NWMN_0350	AP009351.1	401698	402858	-	1161	1
NWMN_0351	AP009351.1	402855	403958	-	1104	3
NWMN_0352	AP009351.1	404166	404504	+	339	1
NWMN_0353	AP009351.1	404622	405467	+	846	12
NWMN_0354	AP009351.1	405624	406505	+	882	24
NWMN_0355	AP009351.1	406750	407847	+	1098	119
NWMN_0356	AP009351.1	407933	408124	-	192	4
NWMN_0357	AP009351.1	408368	408664	+	297	953
NWMN_0358	AP009351.1	408685	409188	+	504	1174
NWMN_0359	AP009351.1	409240	409482	+	243	517
NWMN_0360	AP009351.1	409748	410722	-	975	4
NWMN_0361	AP009351.1	410725	411036	-	312	2
NWMN_0362	AP009351.1	411632	412243	+	612	60
NWMN_0363	AP009351.1	412612	412980	+	369	1
NWMN_0364	AP009351.1	413161	413733	+	573	210
NWMN_0365	AP009351.1	413871	414134	-	264	123
NWMN_0366	AP009351.1	414434	414685	+	252	2618
NWMN_0367	AP009351.1	415111	415692	+	582	12
NWMN_0368	AP009351.1	415758	416150	-	393	17
NWMN_0369	AP009351.1	416396	417022	-	627	63
NWMN_0370	AP009351.1	417095	417388	-	294	6
NWMN_0371	AP009351.1	417467	418990	-	1524	2176
NWMN_0372	AP009351.1	419006	419575	-	570	1429
NWMN_0373	AP009351.1	420067	420822	+	756	248
NWMN_0374	AP009351.1	420903	422291	-	1389	115
NWMN_0375	AP009351.1	423268	424224	-	957	232
NWMN_0376	AP009351.1	424342	425004	-	663	79
NWMN_0377	AP009351.1	425147	425554	-	408	814
NWMN_0378	AP009351.1	426067	426645	+	579	25
NWMN_0379	AP009351.1	426645	427913	+	1269	65
NWMN_0380	AP009351.1	427951	429417	+	1467	251
NWMN_0381	AP009351.1	429442	430983	+	1542	351
NWMN_0382	AP009351.1	431096	431632	-	537	7
NWMN_0383	AP009351.1	432025	432729	-	705	2
NWMN_0384	AP009351.1	433128	433400	-	273	2
NWMN_0385	AP009351.1	433441	433758	-	318	3
NWMN_0386	AP009351.1	434337	434696	-	360	91
NWMN_0387	AP009351.1	434715	435560	-	846	140
NWMN_0388	AP009351.1	436032	436712	+	681	15
NWMN_0389	AP009351.1	436998	437693	+	696	9
NWMN_0390	AP009351.1	437984	439042	+	1059	13
NWMN_0391	AP009351.1	439407	440333	+	927	17
NWMN_0392	AP009351.1	440697	441401	+	705	11
NWMN_0393	AP009351.1	441847	442542	+	696	3
NWMN_0394	AP009351.1	442963	443658	+	696	14
NWMN_0395	AP009351.1	443987	444700	+	714	10
NWMN_0396	AP009351.1	445080	445778	+	699	4
NWMN_0397	AP009351.1	446144	446827	+	684	17
NWMN_0398	AP009351.1	447091	448647	+	1557	29
NWMN_0399	AP009351.1	448640	449851	+	1212	11
NWMN_0400	AP009351.1	450234	450911	+	678	7
NWMN_0401	AP009351.1	450933	452441	+	1509	28
NWMN_0402	AP009351.1	452545	452862	-	318	2998
NWMN_0403	AP009351.1	453191	453994	+	804	2
NWMN_0404	AP009351.1	454025	454825	+	801	7
NWMN_0405	AP009351.1	454844	455317	+	474	5
NWMN_0406	AP009351.1	455697	456500	+	804	4
NWMN_0407	AP009351.1	456519	457289	+	771	3
NWMN_0408	AP009351.1	457321	458112	+	792	2
NWMN_0409	AP009351.1	458182	458958	+	777	3
NWMN_0410	AP009351.1	459134	459949	+	816	6
NWMN_0411	AP009351.1	459968	460753	+	786	13
NWMN_0412	AP009351.1	460936	461748	+	813	49
NWMN_0413	AP009351.1	461738	463066	+	1329	94
NWMN_0414	AP009351.1	463063	463386	+	324	28
NWMN_0415	AP009351.1	463405	463719	+	315	36
NWMN_0416	AP009351.1	464009	464203	-	195	32
NWMN_0417	AP009351.1	464388	465590	+	1203	13
NWMN_2616	AP009351.1	466249	466311	-	63	7900
NWMN_2617	AP009351.1	466375	466443	-	69	8798
NWMN_2618	AP009351.1	466495	466560	-	66	10648
NWMN_2619	AP009351.1	466592	466657	-	66	8589
NWMN_0418	AP009351.1	467178	468662	+	1485	100
NWMN_0419	AP009351.1	468675	471380	+	2706	375
NWMN_0420	AP009351.1	471542	471904	+	363	113
NWMN_0421	AP009351.1	472587	473261	+	675	61
NWMN_0422	AP009351.1	473298	474032	+	735	76
NWMN_0423	AP009351.1	474485	475825	+	1341	11
NWMN_0424	AP009351.1	476042	476956	+	915	11
NWMN_0425	AP009351.1	476940	478082	+	1143	34
NWMN_0426	AP009351.1	478513	479400	+	888	7
NWMN_0427	AP009351.1	479404	480063	+	660	4
NWMN_0428	AP009351.1	480100	480942	+	843	22
NWMN_0429	AP009351.1	481274	482278	+	1005	135
NWMN_0430	AP009351.1	482463	482732	-	270	40
NWMN_0431	AP009351.1	482872	483276	+	405	28
NWMN_0432	AP009351.1	483266	483751	+	486	52
NWMN_0433	AP009351.1	483920	484702	-	783	32
NWMN_0434	AP009351.1	484699	485817	-	1119	35
NWMN_0435	AP009351.1	485932	486816	-	885	1
NWMN_0436	AP009351.1	486997	491496	+	4500	77
NWMN_0437	AP009351.1	491514	492977	+	1464	90
NWMN_0438	AP009351.1	493800	495236	+	1437	1367
NWMN_0439	AP009351.1	495300	496940	+	1641	874
NWMN_0440	AP009351.1	496965	497693	+	729	432
NWMN_0441	AP009351.1	498332	498856	+	525	34
NWMN_0442	AP009351.1	498925	500622	+	1698	222
NWMN_0443	AP009351.1	500712	501029	+	318	0
NWMN_0444	AP009351.1	501036	501632	+	597	0
NWMN_0445	AP009351.1	508675	510012	+	1338	35
NWMN_0446	AP009351.1	509999	510631	+	633	53
NWMN_0447	AP009351.1	510659	510988	+	330	472
NWMN_0448	AP009351.1	511202	512128	+	927	131
NWMN_0449	AP009351.1	512129	512932	+	804	147
NWMN_0450	AP009351.1	512949	513296	+	348	66
NWMN_0451	AP009351.1	513570	514295	+	726	46
NWMN_0452	AP009351.1	514538	515377	+	840	46
NWMN_0453	AP009351.1	515662	517635	+	1974	196
NWMN_0454	AP009351.1	517666	518439	+	774	132
NWMN_0455	AP009351.1	518606	519142	+	537	37
NWMN_0456	AP009351.1	519153	520046	+	894	49
NWMN_0457	AP009351.1	520146	520409	+	264	402
NWMN_0458	AP009351.1	520719	521567	+	849	198
NWMN_0459	AP009351.1	521581	522405	+	825	474
NWMN_0460	AP009351.1	522422	522802	+	381	1237
NWMN_0461	AP009351.1	522874	523176	+	303	1165
NWMN_0462	AP009351.1	523514	524872	+	1359	569
NWMN_0463	AP009351.1	525019	525984	+	966	410
NWMN_0464	AP009351.1	526134	526787	+	654	743
NWMN_0465	AP009351.1	527098	527670	+	573	32
NWMN_0466	AP009351.1	527670	531176	+	3507	145
NWMN_0467	AP009351.1	531166	532692	+	1527	82
NWMN_0468	AP009351.1	532689	533885	+	1197	176
NWMN_0469	AP009351.1	534163	534555	+	393	135
NWMN_0470	AP009351.1	534660	535061	+	402	366
NWMN_0471	AP009351.1	535241	536536	+	1296	37
NWMN_0472	AP009351.1	536565	537080	+	516	25
NWMN_0473	AP009351.1	537337	539430	+	2094	746
NWMN_0474	AP009351.1	539659	540540	+	882	208
NWMN_0475	AP009351.1	540719	541651	+	933	1095
NWMN_0476	AP009351.1	541867	542670	+	804	42
NWMN_0477	AP009351.1	542648	543013	+	366	47
NWMN_0478	AP009351.1	543010	543486	+	477	81
NWMN_0479	AP009351.1	543965	545512	+	1548	392
NWMN_0480	AP009351.1	552569	553951	-	1383	0
