locus tag,new locus tag,pan locus tag,pan gene symbol,type,symbol,synonym,product,replicon,strand,start,end,gene length,essential,Gene ID,gene RefSeq,MicrobesOnline,description,protein length,theoretical pI,theoretical MW,GRAVY,TIGRFAM Meta Role,TIGRFAM Main Role,TIGRFAM Sub Role,TIGRFAM function,TIGRFAM,TIGRFAM HMM score,TheSEED,PFAM Accession,PFAM,PFAM description,PFAM clan accession,PFAM clan,PFAM HMM score,interaction partners,PSORTb,DeepLocPro,LocateP,SignalP,transmembrane helices,protein GI,UniProt,protein RefSeq,protein copies per cell,operon,pubmed
NWMN_0011,NWMN_RS00060,SAUPAN000021000,metX,CDS,NWMN_0011,,hypothetical protein,chromosome,+,16113,17081,969,unknown,5329922,YP_001331046,3705540,hypothetical protein,322,6.6147,36927.4,-0.349068,Metabolism,Amino acid biosynthesis,Aspartate family,homoserine O-acetyltransferase,TIGR01392,202,"Amino Acids and Derivatives / ""Lysine, threonine, methionine, and cysteine"" / ""Methionine Biosynthesis"" / ""Homoserine O-acetyltransferase (EC 2.3.1.31)""",PF00561,Abhydrolase_1,alpha/beta hydrolase fold,CL0028,AB_hydrolase,48.7,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220223,A0A0H3KD65,YP_001331046,,no polycistronic organisation predicted,
NWMN_0012,NWMN_RS00065,SAUPAN000023000,-,CDS,NWMN_0012,,hypothetical protein,chromosome,+,17324,18310,987,unknown,5329923,YP_001331047,3705541,hypothetical protein,328,10.8965,36002.9,1.15823,,,,,,,"CBSS-262719.3.peg.410 / ""FIG003573: hypothetical protein""",PF09991,DUF2232,Predicted membrane protein (DUF2232),no clan defined,no clan defined,220.1,,Cytoplasmic Membrane,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,7,151220224,A0A0H3K5H0,YP_001331047,,NWMN_0012 > NWMN_0013 > NWMN_0014 > NWMN_0015 (MicrobesOnline),
NWMN_0013,NWMN_RS00070,SAUPAN000024000,gdpP,CDS,NWMN_0013,,hypothetical protein,chromosome,+,18325,20292,1968,unknown,5329924,YP_001331048,3705542,hypothetical protein,655,4.90083,73780.7,-0.110229,Signal transduction,Signal transduction,Two-component systems,phosphate regulon sensor kinase PhoR,TIGR02966,17.5,"CBSS-262719.3.peg.410 / ""Phosphoesterase, DHH family protein""",PF24898,GGDEF_GdpP,"Cyclic-di-AMP phosphodiesterase GdpP-like, GGDEF domain",CL0276,Nucleot_cyclase,135.6,,Cytoplasmic,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,2,151220225,A0A0H3K601,YP_001331048,,NWMN_0012 > NWMN_0013 > NWMN_0014 > NWMN_0015 (MicrobesOnline),
NWMN_0014,NWMN_RS00075,SAUPAN000025000,rplI,CDS,rplI,,50S ribosomal protein L9,chromosome,+,20289,20735,447,unknown,5329925,YP_001331049,3705543,50S ribosomal protein L9,148,10.0654,16453.8,-0.681757,Genetic information processing,Protein synthesis,Ribosomal proteins: synthesis and modification,ribosomal protein bL9,TIGR00158,149.7,"Protein Metabolism / ""Protein biosynthesis"" / ""Ribosome LSU bacterial"" / ""LSU ribosomal protein L9p""",PF03948,Ribosomal_L9_C,"Ribosomal protein L9, C-terminal domain",no clan defined,no clan defined,99.9,NWMN_0428; NWMN_0499; NWMN_0501; NWMN_0641; NWMN_1592; NWMN_2151,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220226,A6QD54,YP_001331049,,NWMN_0012 > NWMN_0013 > NWMN_0014 > NWMN_0015 (MicrobesOnline),21166474
NWMN_0015,NWMN_RS00080,SAUPAN000026000,dnaC,CDS,dnaB,,replicative DNA helicase,chromosome,+,20767,22167,1401,unknown,5332372,YP_001331050,3705544,replicative DNA helicase,466,4.41767,52571.3,-0.590773,Genetic information processing,DNA metabolism,"DNA replication, recombination, and repair",replicative DNA helicase,TIGR00665,585.3,"DNA Metabolism / ""DNA replication"" / ""DNA-replication"" / ""Replicative DNA helicase (EC 3.6.1.-)""; ""DNA Metabolism"" / ""DNA replication"" / ""DNA-replication"" / ""Replicative DNA helicase (EC 3.6.1.-) [SA14-24]""",PF03796,DnaB_C,DnaB-like helicase C terminal domain,CL0023,P-loop_NTPase,383.1,NWMN_0641; NWMN_1587; NWMN_2135,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220227,A0A0H3K9T5,YP_001331050,,NWMN_0012 > NWMN_0013 > NWMN_0014 > NWMN_0015 (MicrobesOnline),21166474
NWMN_0016,NWMN_RS00085,SAUPAN000028000,purA,CDS,purA,,adenylosuccinate synthetase,chromosome,+,22445,23728,1284,unknown,5331868,YP_001331051,3705545,adenylosuccinate synthetase,427,4.85645,47578.4,-0.306557,Metabolism,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,adenylosuccinate synthase,TIGR00184,595,"Miscellaneous / ""Miscellaneous - no subcategory"" / ""EC 6.3.4.- Ligases that form carbon-nitrogen bonds"" / ""Adenylosuccinate synthetase (EC 6.3.4.4)""; ""Nucleosides and Nucleotides"" / ""Purines"" / ""Purine conversions"" / ""Adenylosuccinate synthetase (EC 6.3.4.4)""",PF00709,Adenylsucc_synt,Adenylosuccinate synthetase,CL0023,P-loop_NTPase,607,NWMN_0014; NWMN_0055; NWMN_0162; NWMN_0357; NWMN_0359; NWMN_0372; NWMN_0377; NWMN_0380; NWMN_0475; NWMN_0481; NWMN_0499; NWMN_0500; NWMN_0501; NWMN_0502; NWMN_0505; NWMN_0507; NWMN_0508; NWMN_0509; NWMN_0510; NWMN_0551; NWMN_0601; NWMN_0721; NWMN_0741; NWMN_0742; NWMN_0743; NWMN_0745; NWMN_0775; NWMN_0785; NWMN_0811; NWMN_0828; NWMN_0833; NWMN_0839; NWMN_0881; NWMN_0885; NWMN_0949; NWMN_0950; NWMN_0959; NWMN_0961; NWMN_0962; NWMN_1057; NWMN_1096; NWMN_1142; NWMN_1148; NWMN_1151; NWMN_1166; NWMN_1167; NWMN_1182; NWMN_1217; NWMN_1246; NWMN_1254; NWMN_1263; NWMN_1325; NWMN_1333; NWMN_1378; NWMN_1382; NWMN_1385; NWMN_1417; NWMN_1456; NWMN_1483; NWMN_1547; NWMN_1549; NWMN_1569; NWMN_1572; NWMN_1574; NWMN_1580; NWMN_1587; NWMN_1592; NWMN_1593; NWMN_1596; NWMN_1613; NWMN_1625; NWMN_1672; NWMN_1737; NWMN_1831; NWMN_1837; NWMN_1838; NWMN_1937; NWMN_2016; NWMN_2024; NWMN_2029; NWMN_2042; NWMN_2056; NWMN_2086; NWMN_2120; NWMN_2125; NWMN_2126; NWMN_2127; NWMN_2128; NWMN_2131; NWMN_2133; NWMN_2135; NWMN_2136; NWMN_2137; NWMN_2138; NWMN_2140; NWMN_2141; NWMN_2143; NWMN_2146; NWMN_2147; NWMN_2148; NWMN_2149; NWMN_2150; NWMN_2151; NWMN_2152; NWMN_2153; NWMN_2315; NWMN_2454; NWMN_2469; NWMN_2499; NWMN_2503; NWMN_2504,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220228,A0A0H3K656,YP_001331051,,no polycistronic organisation predicted,21166474
NWMN_tRNA01,NWMN_RS00090,SAUPAN000029000,trnaE,tRNA,NWMN_tRNA01,,tRNA-Glu,chromosome,+,24158,24229,72,unknown,5332300,,3705546,tRNA-Glu,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_tRNA01 > NWMN_tRNA02 (MicrobesOnline),
NWMN_tRNA02,NWMN_RS00095,SAUPAN000030000,trnaD,tRNA,NWMN_tRNA02,,tRNA-Asp,chromosome,+,24240,24312,73,unknown,5331647,,3705547,tRNA-Asp,0,,,,,,,,,,,,,,,,,,,,,no predicted signal peptide,,,,,,NWMN_tRNA01 > NWMN_tRNA02 (MicrobesOnline),
NWMN_0017,NWMN_RS00100,SAUPAN000032000,walR,CDS,vicR,,response regulator protein,chromosome,+,24926,25633,708,unknown,5331648,YP_001331052,3705548,response regulator protein,235,4.81211,27451.1,-0.478298,Signal transduction,Regulatory functions; Signal transduction,DNA interactions; Two-component systems,phosphate regulon transcriptional regulatory protein PhoB,TIGR02154,235.8,"Iron acquisition and metabolism / ""Iron acquisition and metabolism - no subcategory"" / ""Heme, hemin uptake and utilization systems in GramPositives"" / ""Two-component response regulator SA14-24""",PF00072,Response_reg,Response regulator receiver domain,CL0304,CheY,107.1,NWMN_0428; NWMN_0475; NWMN_0961; NWMN_1166; NWMN_1385; NWMN_2016; NWMN_2146; NWMN_2504,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220229,A6QD57,YP_001331052,,NWMN_0017 > NWMN_0018 > NWMN_0019 > NWMN_0020 (MicrobesOnline),14762013; 17827301; 21166474; 22825451
NWMN_0018,NWMN_RS00105,SAUPAN000033000,walK,CDS,vicK,,sensor kinase,chromosome,+,25646,27472,1827,unknown,5332594,YP_001331053,3705549,sensor kinase,608,5.39883,69957.5,-0.355428,Signal transduction,Signal transduction,Two-component systems,phosphate regulon sensor kinase PhoR,TIGR02966,248.6,"Iron acquisition and metabolism / ""Iron acquisition and metabolism - no subcategory"" / ""Heme, hemin uptake and utilization systems in GramPositives"" / ""Two-component sensor kinase SA14-24""",PF02518,HATPase_c,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",CL0025,His_Kinase_A,110.2,NWMN_0017; NWMN_1166; NWMN_2135,Cytoplasmic Membrane,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,2,151220230,A6QD58,YP_001331053,,NWMN_0017 > NWMN_0018 > NWMN_0019 > NWMN_0020 (MicrobesOnline),14762013; 17827301; 21166474; 22825451
NWMN_0019,NWMN_RS00110,SAUPAN000034000,walH,CDS,NWMN_0019,,hypothetical protein,chromosome,+,27438,28799,1362,unknown,5332593,YP_001331054,3705550,hypothetical protein,453,6.03146,51882.9,-0.563355,Genetic information processing,Protein fate,Protein and peptide secretion and trafficking,type II secretion system protein C,TIGR01713,16.6,"Cofactors, Vitamins, Prosthetic Groups, Pigments / ""Tetrapyrroles"" / ""CPO analysis"" / ""FIG011501: YycH protein""",PF07435,YycH,YycH protein,CL0285,YycI_YycH,445.4,,no significant prediction,Cytoplasmic Membrane,N-terminally anchored (No CS),no predicted signal peptide,1,151220231,A0A0H3KD70,YP_001331054,,NWMN_0017 > NWMN_0018 > NWMN_0019 > NWMN_0020 (MicrobesOnline),26999783
NWMN_0020,NWMN_RS00115,SAUPAN000035000,walI,CDS,NWMN_0020,,hypothetical protein,chromosome,+,28800,29588,789,unknown,5329926,YP_001331055,3705551,hypothetical protein,262,9.36924,29931.6,-0.621756,,,,,,,"Cofactors, Vitamins, Prosthetic Groups, Pigments / ""Tetrapyrroles"" / ""CPO analysis"" / ""hypothetical protein SA_21""",PF09648,YycI,YycI protein,CL0285,YycI_YycH,192.6,,no significant prediction,Cytoplasmic Membrane,N-terminally anchored (No CS),no predicted signal peptide,1,151220232,A0A0H3K5H4,YP_001331055,,NWMN_0017 > NWMN_0018 > NWMN_0019 > NWMN_0020 (MicrobesOnline),26999783
NWMN_0021,NWMN_RS00120,SAUPAN000036000,walJ,CDS,NWMN_0021,,metallo-beta-lactamase superfamily protein,chromosome,+,29978,30778,801,unknown,5329927,YP_001331056,3705552,metallo-beta-lactamase superfamily protein,266,6.34904,30327.4,-0.397368,Cellular processes,Cellular processes,Detoxification,hydroxyacylglutathione hydrolase,TIGR03413,33.5,"Iron acquisition and metabolism / ""Iron acquisition and metabolism - no subcategory"" / ""Heme, hemin uptake and utilization systems in GramPositives"" / ""Zn-dependent hydrolase (beta-lactamase superfamily)""",PF12706,Lactamase_B_2,Beta-lactamase superfamily domain,CL0381,Metallo-HOrase,70.1,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220233,A0A0H3K605,YP_001331056,,no polycistronic organisation predicted,26999783
NWMN_0022,NWMN_RS00125,SAUPAN000037000,adsA,CDS,NWMN_0022,,hypothetical protein,chromosome,+,31006,33324,2319,unknown,5329928,YP_001331057,3705553,hypothetical protein,772,10.0493,83424,-0.480959,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers; Transport and binding proteins",Other; Pyridine nucleotides,NAD nucleotidase,TIGR01530,134.4,"Nucleosides and Nucleotides / ""Purines"" / ""Purine conversions"" / ""5'-nucleotidase (EC 3.1.3.5)""; ""Nucleosides and Nucleotides"" / ""Pyrimidines"" / ""pyrimidine conversions"" / ""5'-nucleotidase (EC 3.1.3.5)""; ""Virulence, Disease and Defense"" / ""Adhesion"" / ""Adhesins in Staphylococcus"" / ""Virulence-associated cell-wall-anchored protein SasH (LPXTG motif)""",PF02872,5_nucleotid_C,"5'-nucleotidase, C-terminal domain",CL0781,NadN_C,130.4,,Cellwall,Cell wall & surface,LPxTG Cell-wall anchored,signal peptide predicted,0,151220234,A0A0H3K9U4,YP_001331057,,no polycistronic organisation predicted,19808256; 22035583; 22088393
NWMN_0023,NWMN_RS00130,SAUPAN000040000,orfX,CDS,orfX,rlmH,rRNA large subunit methyltransferase,chromosome,+,33692,34171,480,unknown,5329929,YP_001331058,3705554,rRNA large subunit methyltransferase,159,9.85885,18306.2,-0.461635,Genetic information processing,Protein synthesis,tRNA and rRNA base modification,rRNA large subunit m3Psi methyltransferase RlmH,TIGR00246,186.6,"Protein Metabolism / ""Protein biosynthesis"" / ""Ribosome biogenesis bacterial"" / ""LSU m3Psi1915 methyltransferase RlmH""",PF02590,SPOUT_MTase,Predicted SPOUT methyltransferase,CL0098,SPOUT,208.4,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220235,A6QD63,YP_001331058,,no polycistronic organisation predicted,
NWMN_0024,NWMN_RS00145,SAUPAN000832000,-,CDS,NWMN_0024,,hypothetical protein,chromosome,+,34713,36458,1746,unknown,5332231,YP_001331059,3705555,hypothetical protein,581,4.6922,67780.7,-0.354733,,,,"sporadically distributed protein, TIGR04141 family",TIGR04141,90.6,,PF19614,DUF6119,Family of unknown function (DUF6119),no clan defined,no clan defined,108.7,,Cytoplasmic,Extracellular,Intracellular,no predicted signal peptide,0,151220236,A0A0H3K660,YP_001331059,,no polycistronic organisation predicted,
NWMN_0025,NWMN_RS00150,SAUPAN000051000,-,CDS,NWMN_0025,,hypothetical protein,chromosome,-,36552,37004,453,unknown,5329930,YP_001331060,3705556,hypothetical protein,150,5.66706,17640.1,-0.483333,,Unknown function,General,"putative TIM-barrel protein, nifR3 family",TIGR00737,46.9,"RNA Metabolism / ""RNA processing and modification"" / ""tRNA modification Archaea"" / ""tRNA dihydrouridine synthase B (EC 1.-.-.-)""",PF01207,Dus,Dihydrouridine synthase (Dus),CL0036,TIM_barrel,42.6,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220237,A0A0H3KD75,YP_001331060,,no polycistronic organisation predicted,
NWMN_0026,NWMN_RS00160,SAUPAN000489000,tauE,CDS,NWMN_0026,,hypothetical protein,chromosome,-,37219,37974,756,unknown,5329931,YP_001331061,3705557,hypothetical protein,251,10.2985,26690.6,1.3992,,,,,,,,PF01925,TauE,Sulfite exporter TauE/SafE,CL0292,LysE,149.2,,Cytoplasmic Membrane,Cytoplasmic Membrane,Multi-transmembrane,no predicted signal peptide,7,151220238,A0A0H3K5H7,YP_001331061,,no polycistronic organisation predicted,26177047
NWMN_0027,NWMN_RS00170,SAUPAN000487000,cstA,CDS,NWMN_0027,,hypothetical protein,chromosome,+,38371,39438,1068,unknown,5329932,YP_001331062,3705558,hypothetical protein,355,8.36646,40086.8,-0.448169,Genetic information processing,Protein synthesis,tRNA and rRNA base modification,tRNA 2-selenouridine synthase,TIGR03167,36.7,,PF13686,DrsE_2,DsrE/DsrF/DrsH-like family,CL0394,DsrEFH-like,196,,no significant prediction,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220239,A0A0H3K610,YP_001331062,,NWMN_0027 > NWMN_0028 > NWMN_0029 (MicrobesOnline),26177047
NWMN_0028,NWMN_RS00175,SAUPAN000486000,cstB,CDS,NWMN_0028,,metallo-beta-lactamase superfamily protein,chromosome,+,39469,40803,1335,unknown,5329933,YP_001331063,3705559,metallo-beta-lactamase superfamily protein,444,5.93674,49351.1,-0.397297,Cellular processes,Cellular processes,Detoxification,hydroxyacylglutathione hydrolase,TIGR03413,78.1,,PF00581,Rhodanese,Rhodanese-like domain,CL0031,Phosphatase,77.8,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220240,A0A0H3K9V0,YP_001331063,,NWMN_0027 > NWMN_0028 > NWMN_0029 (MicrobesOnline),26177047
NWMN_0029,NWMN_RS00180,SAUPAN000838000,sqr,CDS,NWMN_0029,,hypothetical protein,chromosome,+,40813,42015,1203,unknown,5329934,YP_001331064,3705560,hypothetical protein,400,9.23539,45228.4,-0.404,,,,pyridine nucleotide-disulfide oxidoreductase family protein,TIGR03169,61.6,,PF07992,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,CL0063,NADP_Rossmann,60.1,,no significant prediction,Cytoplasmic Membrane,Intracellular,no predicted signal peptide,0,151220241,A0A0H3K663,YP_001331064,,NWMN_0027 > NWMN_0028 > NWMN_0029 (MicrobesOnline),15205410; 26177047
NWMN_0030,NWMN_RS00190,SAUPAN000382000,-,CDS,NWMN_0030,,hypothetical protein,chromosome,-,42682,43668,987,unknown,5329935,YP_001331065,3705561,hypothetical protein,328,6.14939,37767.1,-0.37561,,Unknown function,General,"putative TIM-barrel protein, nifR3 family",TIGR00737,162.1,"RNA Metabolism / ""RNA processing and modification"" / ""tRNA modification Archaea"" / ""tRNA dihydrouridine synthase B (EC 1.-.-.-)""",PF01207,Dus,Dihydrouridine synthase (Dus),CL0036,TIM_barrel,165.8,,Cytoplasmic,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220242,A0A0H3KD80,YP_001331065,,no polycistronic organisation predicted,
NWMN_0031,NWMN_RS00200,SAUPAN000384000,-,CDS,NWMN_0031,,hypothetical protein,chromosome,+,44229,44525,297,unknown,5329936,YP_001331066,3705562,hypothetical protein,98,9.64452,11138.9,-0.297959,,,,,,,,PF04993,TfoX_N,TfoX N-terminal domain,CL0631,YgaC_TfoX-N,34.8,,no significant prediction,Cytoplasmic,Intracellular,no predicted signal peptide,0,151220243,A0A0H3K5H9,YP_001331066,,no polycistronic organisation predicted,
